Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,31.38,72.09,93.49,11.98,50.59,10.46,12.98
Cash & Cash Equivalents,31.38,72.09,93.49,11.98,50.59,10.46,12.98
Cash Growth,-56.47%,-22.88%,680.47%,-76.32%,383.65%,-19.39%,-
"Property, Plant & Equipment",18.72,19.18,18.84,18.34,17.04,17.03,18.22
Goodwill and Intangibles,2.57,2.67,1.61,1.65,1.69,1.83,3.51
Total Assets,"1,335.98","1,281.17","1,128.83",973.95,882.42,742.1,722.56
Total Liabilities,"1,227.85","1,155.2","1,012.33",864.06,823.15,687.13,670.04
Total Debt,62.88,23.2,55.83,71.46,41.75,20.06,14.66
Debt Growth,171.07%,-58.45%,-21.87%,71.15%,108.19%,36.85%,-
Common Stock,43.7,42.98,42.22,41.83,0.1,0.1,0.1
Retained Earnings,96.62,89.63,78.07,72.15,66.19,61.83,57.69
Comprehensive Income,-32.19,-6.64,-3.79,-4.1,-7.01,-6.96,-5.27
Shareholders' Equity,108.13,125.97,116.5,109.88,59.28,54.98,52.52
Total Liabilities and Equity,"1,335.98","1,281.17","1,128.83",973.95,882.42,742.1,722.56
Net Cash / Debt,-31.49,48.9,37.66,-59.48,8.84,-9.6,-1.68
Net Cash / Debt Growth,-,29.85%,-,-,-,-,-
Net Cash Per Share,-2.86,4.46,3.51,-5.55,-,-,-
Book Value Per Share,9.98,11.70,10.86,10.26,5.32,-,-
