Year,2022,2021,2020,2019,2017,2016,2015,2014,2013
Cash & Equivalents,702,"1,041",830,612,609.84,578.01,585.05,91.58,45.19
Cash & Cash Equivalents,702,"1,041",830,612,609.84,578.01,585.05,91.58,45.19
Cash Growth,-32.56%,25.42%,35.62%,0.35%,5.51%,-1.20%,538.86%,102.63%,-
Receivables,"1,019","1,228",940,988,0,0,0,0,0
"Property, Plant & Equipment",65,98,113,112,0,0,0,0,0
Total Assets,"12,776","14,204","24,165","18,305",614.12,736.19,685.06,156.14,267.64
Accounts Payable,"2,633","2,392","7,159","2,016",0,0,0,0,0
Deferred Revenue,0,0,0,0,0.04,0.27,0.76,1.09,1.39
Total Liabilities,"8,719","10,837","21,661","16,074",16.82,39.84,173.07,67.91,202.51
Total Debt,"5,558","7,667","8,332","12,649",0,18.98,21.98,31.56,106.65
Debt Growth,-27.51%,-7.98%,-34.13%,-,-,-13.66%,-30.35%,-70.41%,-
Common Stock,255,487,"1,069","1,110",0.04,108.42,107.76,106.63,77.14
Retained Earnings,"3,802","2,879","1,434","1,122",93.55,85.72,-97.98,-18.4,-12.02
Shareholders' Equity,"4,057","3,366","2,503","2,232",93.59,194.14,9.78,88.23,65.13
Total Liabilities and Equity,"12,776","14,203","24,164","18,306",110.41,233.98,182.85,156.14,267.64
Net Cash / Debt,"-4,856","-6,626","-7,502","-12,037",609.84,559.04,563.07,60.02,-61.45
Net Cash / Debt Growth,-,-,-,-,9.09%,-0.72%,838.14%,-,-
Net Cash Per Share,-,-,-,-,34.41,28.50,33.49,3.59,-3.68
Book Value Per Share,57.49,44.81,27.55,24.50,5.54,11.52,0.58,5.27,3.90
