Year,2022,2021,2020,2019,2018
Cash & Equivalents,166.69,124.25,96.55,7.46,17.87
Short-Term Investments,"1,351.74","1,453.82",81.57,89.16,46.5
Cash & Cash Equivalents,"1,518.43","1,578.06",178.11,96.62,64.37
Cash Growth,-3.78%,785.99%,84.35%,50.11%,-
Receivables,74.97,63.68,75.52,74.77,21.04
Other Current Assets,-135.84,-114.55,-97.46,-14.02,-10.13
Total Current Assets,"1,457.56","1,527.2",156.18,157.36,75.28
"Property, Plant & Equipment",82.09,83.62,105.52,104.8,101.28
Long-Term Investments,7.33,8.59,31.6,26.88,19.33
Goodwill and Intangibles,189.24,1.16,1.44,2.72,3.83
Other Long-Term Assets,30.75,26.43,33.79,20.01,2.53
Total Long-Term Assets,309.4,119.8,172.35,154.41,126.97
Total Assets,"1,766.95","1,647.01",328.52,311.77,202.25
Accounts Payable,8.58,11.51,126.87,38.03,12.95
Current Debt,37.32,22.3,19.83,17.74,16.45
Other Current Liabilities,110.02,130.06,63.57,47.21,15.27
Total Current Liabilities,155.91,163.87,210.26,102.98,44.67
Long-Term Debt,224.19,63.24,86.37,85.15,76.55
Other Long-Term Liabilities,11.31,5.02,12.65,8.92,12.96
Total Long-Term Liabilities,235.49,68.26,99.02,94.07,89.51
Total Liabilities,391.41,232.13,309.29,197.05,134.18
Total Debt,261.5,85.54,106.2,102.89,93
Debt Growth,205.69%,-19.45%,3.22%,10.63%,-
Common Stock,"1,291.22","1,344.65",19.22,16.71,16.6
Retained Earnings,81.31,70.18,0,91.43,49.71
Shareholders' Equity,"1,372.53","1,414.83",19.22,108.14,66.31
Total Liabilities and Equity,"1,763.94","1,646.96",328.51,305.19,200.49
Net Cash / Debt,"1,256.93","1,492.52",71.92,-6.27,-28.64
Net Cash / Debt Growth,-15.79%,1975.39%,-,-,-
Working Capital,"1,301.64","1,363.33",-54.09,54.39,30.61
Book Value Per Share,24.13,24.87,0.35,1.95,-
