Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,74.18,43.68,211.18,38.97,47.36,69.67,36.93,39.64,32.94,35.5,Upgrade
Cash & Cash Equivalents,74.18,43.68,211.18,38.97,47.36,69.67,36.93,39.64,32.94,35.5,Upgrade
Cash Growth,69.84%,-79.32%,441.94%,-17.72%,-32.03%,88.66%,-6.83%,20.31%,-7.19%,-15.87%,Upgrade
"Property, Plant & Equipment",55.61,45.96,51.04,54.36,41.27,39.65,34.36,30.33,27.85,24.46,Upgrade
Total Assets,"4,281.51","4,068.79","4,069.14","4,097.84","4,241.06","3,894.71","3,510.32","3,130.34","2,721.49","2,399.89",Upgrade
Total Liabilities,"3,916.98","3,654.98","3,662.02","3,708.74","3,852.87","3,540.26","3,204.49","2,879.41","2,488.19","2,193.34",Upgrade
Total Debt,436.9,322.58,319.14,543.4,750.95,704.94,586.22,577.21,481.49,395.46,Upgrade
Debt Growth,35.44%,1.08%,-41.27%,-27.64%,6.53%,20.25%,1.56%,19.88%,21.75%,59.05%,Upgrade
Common Stock,80.71,95.8,107.93,114.14,147.71,129.59,104.11,58.34,52.4,47.79,Upgrade
Retained Earnings,348.6,320.32,295.62,274.38,249.92,224.32,203.33,185.07,170.12,157.11,Upgrade
Comprehensive Income,-64.77,-2.31,3.57,0.6,-9.44,0.55,-1.6,7.52,10.79,1.66,Upgrade
Shareholders' Equity,364.54,413.81,407.12,389.11,388.19,354.45,305.83,250.94,233.3,206.56,Upgrade
Total Liabilities and Equity,"4,281.51","4,068.79","4,069.14","4,097.84","4,241.06","3,894.71","3,510.32","3,130.34","2,721.49","2,399.89",Upgrade
Net Cash / Debt,-362.72,-278.91,-107.96,-504.43,-703.59,-635.27,-549.3,-537.58,-448.54,-359.97,Upgrade
Net Cash Per Share,-15.86,-11.79,-4.52,-20.45,-27.82,-,-,-25.58,-21.66,-17.60,Upgrade
Book Value Per Share,15.94,17.49,17.06,15.78,15.35,14.39,12.91,11.94,11.27,10.10,Upgrade
