Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Cash & Equivalents,35.61,49.2,123.19,60.58,53.24,49.83,10.79,26.86,11.68,19.59,Upgrade
Cash & Cash Equivalents,35.61,49.2,123.19,60.58,53.24,49.83,10.79,26.86,11.68,19.59,Upgrade
Cash Growth,-27.62%,-60.06%,103.34%,13.80%,6.85%,361.73%,-59.83%,130.02%,-40.38%,-15.78%,Upgrade
"Property, Plant & Equipment",20.49,21.17,21.17,21.11,13.51,9.65,5.34,2.67,3.73,4.84,Upgrade
Goodwill and Intangibles,33.95,35.4,36.99,39.09,38.98,15.89,5.54,0.1,0.16,0.22,Upgrade
Total Assets,"1,816.39","1,739.63","1,649.1","1,531.25","1,287.92",940.66,695.87,580.15,569.82,554.52,Upgrade
Total Liabilities,"1,649.3","1,568.76","1,488.53","1,380.7","1,149.74",867.18,631.32,518.7,512.52,500.34,Upgrade
Total Debt,214.94,169.95,181.83,174.53,134.46,120.32,70.29,58.89,58.89,50,Upgrade
Debt Growth,26.47%,-6.53%,4.18%,29.80%,11.75%,71.17%,19.36%,-,17.78%,1.52%,Upgrade
Common Stock,119.34,120.03,126.27,128.51,124.76,62.99,54.82,54.5,54.09,54,Upgrade
Retained Earnings,65.4,50.68,32.81,22.52,15.26,10.76,9.11,7.16,4.05,2.47,Upgrade
Comprehensive Income,-17.66,0.16,1.49,-0.47,-1.84,-0.27,0.61,-0.21,-0.84,-2.29,Upgrade
Shareholders' Equity,167.09,170.87,160.56,150.55,138.19,73.48,64.54,61.45,57.29,54.19,Upgrade
Total Liabilities and Equity,"1,816.39","1,739.63","1,649.1","1,531.25","1,287.92",940.66,695.87,580.15,569.82,554.52,Upgrade
Net Cash / Debt,-179.33,-120.75,-58.63,-113.95,-81.22,-70.49,-59.5,-32.03,-47.21,-30.41,Upgrade
Book Value Per Share,15.94,16.27,14.39,13.36,12.62,13.93,12.29,11.74,11.09,10.51,Upgrade
