Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,28.34,66.8,92.53,11.71,7.92,12.5,7.78
Cash & Cash Equivalents,28.34,66.8,92.53,11.71,7.92,12.5,7.78
Cash Growth,-57.57%,-27.80%,690.35%,47.76%,-36.60%,60.65%,-
"Property, Plant & Equipment",5.45,5.86,6.28,6.68,8.16,7.66,8.93
Total Assets,543.02,539.64,516.76,428.01,481.1,468.36,450.17
Total Liabilities,467.65,448.75,456.75,369.34,442.92,429.37,412.83
Total Debt,72.49,57.3,71.14,19.3,31.25,35.08,49.52
Debt Growth,26.51%,-19.45%,268.50%,-38.23%,-10.91%,-29.17%,-
Common Stock,45.39,49.14,17.34,18.35,0,0,0
Retained Earnings,41.47,41.62,41.53,40.21,39.76,39.78,37.99
Comprehensive Income,-11.49,0.14,1.14,0.11,-1.58,-0.79,-0.65
Shareholders' Equity,75.36,90.89,60.01,58.67,38.18,38.99,37.34
Total Liabilities and Equity,543.02,539.64,516.76,428.01,481.1,468.36,450.17
Net Cash / Debt,-44.15,9.5,21.39,-7.6,-23.33,-22.58,-41.74
Net Cash / Debt Growth,-,-55.58%,-,-,-,-,-
Net Cash Per Share,-7.64,1.53,4.57,-1.23,-,-,-
Book Value Per Share,13.05,15.18,12.93,9.48,5.95,-,-
