Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,106.29,732.2,532.69,192.97,45.56,35.35,29.18,27.26,28.15,29.91,Upgrade
Cash & Cash Equivalents,106.29,732.2,532.69,192.97,45.56,35.35,29.18,27.26,28.15,29.91,Upgrade
Cash Growth,-85.48%,37.45%,176.04%,323.53%,28.91%,21.12%,7.05%,-3.17%,-5.87%,-6.85%,Upgrade
Receivables,62.14,40.68,37.38,24.91,24.27,20.44,23.26,17.93,18.66,26.04,Upgrade
"Property, Plant & Equipment",100.84,81.59,78.47,73.29,49.92,50.72,49.52,39.37,35.38,31.59,Upgrade
Goodwill and Intangibles,44.11,44.21,44.32,38.89,39.46,40.36,41.58,29.59,30.6,31.78,Upgrade
Total Assets,"5,475.18","5,328.94","4,729.4","3,763.66","3,221.52","2,768.77","2,573.82","2,285.14","2,189.21","2,131.29",Upgrade
Total Liabilities,"4,944.42","4,886.09","4,313.26","3,458.69","2,958.69","2,524.86","2,362.04","2,083.22","2,000.67","1,966.38",Upgrade
Total Debt,270.71,125.44,90.07,317.89,315.74,327.98,307.62,241.14,132.32,108.57,Upgrade
Debt Growth,115.81%,39.27%,-71.67%,0.68%,-3.73%,6.62%,27.57%,82.24%,21.87%,-8.32%,Upgrade
Common Stock,276.37,182.66,182.34,96.52,95.05,95.96,77.61,76.71,76.87,77.29,Upgrade
Retained Earnings,306.91,260.58,218.73,201.5,171.78,148.3,134.3,123.3,110.62,97.07,Upgrade
Comprehensive Income,-52.52,-0.39,15.07,6.94,-4,-0.34,-0.12,1.9,1.06,-9.45,Upgrade
Shareholders' Equity,530.76,442.85,416.14,304.97,262.83,243.91,211.78,201.91,188.55,164.91,Upgrade
Total Liabilities and Equity,"5,475.18","5,328.94","4,729.4","3,763.66","3,221.52","2,768.77","2,573.82","2,285.14","2,189.21","2,131.29",Upgrade
Net Cash / Debt,-164.42,606.76,442.63,-124.92,-270.17,-292.63,-278.44,-213.87,-104.16,-78.66,Upgrade
Net Cash / Debt Growth,-,37.08%,-,-,-,-,-,-,-,-,Upgrade
Book Value Per Share,25.13,26.22,24.72,20.07,17.24,15.96,14.64,14.02,13.12,11.46,Upgrade
