Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Cash & Equivalents,4.78,32.98,24.68,37.64,2.63,2.86,1.85,3.39,2.64,2.8,Upgrade
Cash & Cash Equivalents,4.78,32.98,24.68,37.64,2.63,2.86,1.85,3.39,2.64,2.8,Upgrade
Cash Growth,-85.52%,33.60%,-34.42%,1333.43%,-8.02%,54.41%,-45.43%,28.58%,-5.81%,-0.19%,Upgrade
"Property, Plant & Equipment",6.06,4.25,3.08,0.66,0.84,1.18,1.29,0.87,0.87,0.74,Upgrade
Total Assets,183.57,212.44,238.82,252.42,280.84,333.61,325.31,302.53,283.43,263.84,Upgrade
Accounts Payable,4.72,4.45,4.33,4.92,6.67,7.78,7.34,10.32,11.26,9.5,Upgrade
Deferred Revenue,0,0,0,0,0,3.97,3.92,3.14,2.33,1.36,Upgrade
Total Liabilities,67.18,97.22,131.24,147.54,172.4,224.75,222.46,212.64,141.49,136.87,Upgrade
Total Debt,62.47,92.77,126.91,142.62,165.73,213,211,199,127.9,125.5,Upgrade
Debt Growth,-32.66%,-26.90%,-11.02%,-13.95%,-22.19%,0.95%,6.03%,55.59%,1.91%,12.05%,Upgrade
Common Stock,-39.11,-37.28,-36.57,-35.8,-35.9,-36.57,-37.17,-37.75,31.15,30.03,Upgrade
Retained Earnings,155.5,152.5,144.15,140.68,144.33,145.43,140.02,127.64,110.79,96.93,Upgrade
Shareholders' Equity,116.39,115.22,107.58,104.89,108.44,108.86,102.85,89.89,141.94,126.97,Upgrade
Total Liabilities and Equity,183.57,212.44,238.82,252.42,280.84,333.61,325.31,302.53,283.43,263.84,Upgrade
Net Cash / Debt,-57.69,-59.79,-102.22,-104.98,-163.11,-210.15,-209.15,-195.61,-125.26,-122.7,Upgrade
Book Value Per Share,9.16,9.14,8.54,8.31,8.61,8.71,8.25,7.30,11.62,10.47,Upgrade
