Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,436.08,379.78,230.83,251.55,84.45,149.04,234.79,71.55,93.25,76.65,Upgrade
Cash & Cash Equivalents,436.08,379.78,230.83,251.55,84.45,149.04,234.79,71.55,93.25,76.65,Upgrade
Cash Growth,14.82%,64.53%,-8.24%,197.87%,-43.34%,-36.52%,228.14%,-23.27%,21.66%,44.18%,Upgrade
"Property, Plant & Equipment",108.82,109.27,115.06,118.54,78.41,75.25,17.41,17.45,11.15,9.95,Upgrade
Goodwill and Intangibles,457.67,469.79,432.57,443.1,177.34,179.89,29.05,29.28,20.41,20.72,Upgrade
Total Assets,"12,154.36","9,757.25","8,820.87","7,954.94","3,208.55","2,945.58","1,408.51","1,039.55",802.29,664.97,Upgrade
Accounts Payable,177.58,69.16,61.93,44,5.41,5.1,2.91,1.78,1.58,1.21,Upgrade
Total Liabilities,"10,704.59","8,442.17","7,617.5","6,764.14","2,677.91","2,456.65","1,169.42",907.51,688.97,598.73,Upgrade
Total Debt,"1,403.78","1,009.4","1,042.72",825.79,44.71,102.85,46.34,36.47,48.07,23.07,Upgrade
Debt Growth,39.07%,-3.20%,26.27%,1747.00%,-56.53%,121.95%,27.06%,-24.14%,108.37%,76.22%,Upgrade
Common Stock,"1,139.88",975.74,974.92,"1,023.83",449.6,445.58,211.05,115.45,105.09,63.29,Upgrade
Retained Earnings,379.3,275.27,172.23,147.91,83.97,44.63,29.29,16.74,8.05,2.92,Upgrade
Comprehensive Income,-69.4,64.07,56.23,19.06,-2.93,-1.28,-1.25,-0.14,0.17,0.03,Upgrade
Shareholders' Equity,"1,449.77","1,315.08","1,203.38","1,190.8",530.64,488.93,239.09,132.05,113.31,66.24,Upgrade
Total Liabilities and Equity,"12,154.36","9,757.25","8,820.87","7,954.94","3,208.55","2,945.58","1,408.51","1,039.55",802.29,664.97,Upgrade
Net Cash / Debt,-967.7,-629.61,-811.9,-574.24,39.74,46.19,188.45,35.08,45.18,53.57,Upgrade
Net Cash / Debt Growth,-,-,-,-,-13.97%,-75.49%,437.20%,-22.35%,-15.67%,33.71%,Upgrade
Book Value Per Share,26.84,26.68,24.23,22.94,21.90,21.59,22.25,12.33,11.97,7.31,Upgrade
