Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,207.54,521.01,203.28,168.57,261.77,213.89,319.59,248.84,198.78,303.82,Upgrade
Cash & Cash Equivalents,207.54,521.01,203.28,168.57,261.77,213.89,319.59,248.84,198.78,303.82,Upgrade
Cash Growth,-60.17%,156.30%,20.59%,-35.60%,22.38%,-33.07%,28.43%,25.19%,-34.57%,62.99%,Upgrade
Receivables,56.34,69.57,101.21,55.8,68.61,61.59,30.45,39.27,27.89,35.34,Upgrade
"Property, Plant & Equipment",209.49,223.25,227.05,204.76,12.73,10.46,8.4,8.7,7.34,5.16,Upgrade
Total Assets,"1,216.87","1,555.68","1,196.44","1,071.7",914.38,699.07,598.8,539.46,464.25,443.46,Upgrade
Accounts Payable,255.11,573.59,245.08,179.24,224.3,163.48,145.92,145.44,155.81,118.79,Upgrade
Deferred Revenue,7.71,4.54,2.69,3.02,7.07,4.95,2.97,7,5.15,6.84,Upgrade
Total Liabilities,757.93,"1,077.38",751.97,677.87,542.62,354.81,347.36,282.04,289.86,134.09,Upgrade
Total Debt,192.76,191.89,196.61,197.63,0,0,0,0,0,0,Upgrade
Debt Growth,0.45%,-2.40%,-0.51%,-,-,-,-,-,-,-,Upgrade
Common Stock,"1,009.71","1,024.91",900.83,765.59,641.85,464.52,280.62,183.6,137.41,308.44,Upgrade
Retained Earnings,-560.69,-535.28,-420.68,-324.19,-237.78,-139.92,-68.23,-15.34,-24.12,0,Upgrade
Comprehensive Income,-4.53,-0.56,-0.2,1.43,0.29,0.35,-0.54,0.11,0.09,0.93,Upgrade
Shareholders' Equity,444.5,489.07,479.95,442.83,404.36,324.95,211.85,168.37,113.38,309.37,Upgrade
Total Liabilities and Equity,"1,202.43","1,566.45","1,231.92","1,120.7",946.98,679.76,559.2,450.42,403.24,443.46,Upgrade
Net Cash / Debt,14.78,329.12,6.67,-29.05,261.77,213.89,319.59,248.84,198.78,303.82,Upgrade
Net Cash / Debt Growth,-95.51%,4834.39%,-,-,22.38%,-33.07%,28.43%,25.19%,-34.57%,62.99%,Upgrade
Book Value Per Share,6.48,7.43,7.50,7.41,7.19,6.09,4.09,3.27,2.21,6.01,Upgrade
