Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,213.01,"1,758.55","2,001.72",188.45,171.62,162.33,169.48,138.79,132.89,164.69,Upgrade
Cash & Cash Equivalents,213.01,"1,758.55","2,001.72",188.45,171.62,162.33,169.48,138.79,132.89,164.69,Upgrade
Cash Growth,-87.89%,-12.15%,962.21%,9.81%,5.72%,-4.22%,22.12%,4.44%,-19.31%,-2.22%,Upgrade
"Property, Plant & Equipment",46.7,49.1,51.14,53.98,58.19,46.17,42.09,31.38,33.59,32.83,Upgrade
Goodwill and Intangibles,787.56,689.1,697.34,706.69,720.32,123.4,94.54,76.51,77.46,57.36,Upgrade
Total Assets,"16,476.54","15,883.7","14,419.31","11,282.45","11,529.15","8,270.59","8,073.71","7,671.2","7,377.92","6,664.97",Upgrade
Accounts Payable,0,50.34,60.11,0,0,0,23.78,1.7,0,3.53,Upgrade
Total Liabilities,"14,528.02","13,802.19","12,411.32","9,288.35","9,677.96","7,201.32","7,082.85","6,747.8","6,499.81","5,893.08",Upgrade
Total Debt,"1,560.43",644.67,470.18,454.43,748.03,579.55,681.8,762.48,834.88,937.23,Upgrade
Debt Growth,142.05%,37.11%,3.47%,-39.25%,29.07%,-15.00%,-10.58%,-8.67%,-10.92%,22.48%,Upgrade
Common Stock,"1,300.47","1,209.9","1,211.78","1,298.79","1,293.67",573.45,531.19,502.57,495.22,491.07,Upgrade
Retained Earnings,"1,002.85",875.57,760.86,682.69,575.81,494.36,449.5,399.92,351.81,290.15,Upgrade
Comprehensive Income,-354.8,-3.97,35.35,12.61,-18.28,1.45,10.17,20.91,31.08,-9.33,Upgrade
Shareholders' Equity,"1,948.52","2,081.5","2,007.99","1,994.1","1,851.19","1,069.27",990.86,923.4,878.11,771.89,Upgrade
Total Liabilities and Equity,"16,476.54","15,883.7","14,419.31","11,282.45","11,529.15","8,270.59","8,073.71","7,671.2","7,377.92","6,664.97",Upgrade
Net Cash / Debt,"-1,347.42","1,113.88","1,531.54",-265.98,-576.41,-417.22,-512.32,-623.69,-701.99,-772.54,Upgrade
Net Cash / Debt Growth,-,-27.27%,-,-,-,-,-,-,-,-,Upgrade
Book Value Per Share,13.94,15.36,14.82,14.23,13.19,9.71,9.16,8.68,8.30,7.33,Upgrade
