Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,81.55,240.96,141.06,33.14,43.5,22.57,8.68
Cash & Cash Equivalents,81.55,240.96,141.06,33.14,43.5,22.57,8.68
Cash Growth,-66.15%,70.82%,325.63%,-23.80%,92.74%,159.86%,-
"Property, Plant & Equipment",10.9,11.75,12.78,15.36,2.27,1.24,1.27
Goodwill and Intangibles,7.79,8.05,8.36,8.69,8.44,0.1,0.12
Total Assets,"2,344.32","2,202.92","1,821.48","1,537.3","1,351.58","1,053.22",909.31
Total Liabilities,"2,141.94","1,993.13","1,631.98","1,358.22","1,193.24",954.94,829.49
Total Debt,294.96,55.62,81.21,63.17,24.41,24.33,51.25
Debt Growth,430.30%,-31.51%,28.55%,158.83%,0.33%,-52.53%,-
Common Stock,124.06,121.94,119.7,125.92,124.02,74.12,63.23
Retained Earnings,114.89,89.9,67.97,52.47,36.73,25.86,17.88
Comprehensive Income,-36.57,-2.04,1.83,0.69,-2.41,-1.69,-1.3
Shareholders' Equity,202.38,209.8,189.5,179.08,158.34,98.28,79.81
Total Liabilities and Equity,"2,344.32","2,202.92","1,821.48","1,537.3","1,351.58","1,053.22",909.31
Net Cash / Debt,-213.41,185.34,59.86,-30.03,19.09,-1.76,-42.56
Net Cash / Debt Growth,-,209.64%,-,-,-,-,-
Book Value Per Share,11.57,12.26,11.25,10.32,9.25,6.13,-
