Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,47,70.62,101.08,62.13,68.95,27.59,18.32,14.52
Cash & Cash Equivalents,47,70.62,101.08,62.13,68.95,27.59,18.32,14.52
Cash Growth,-33.45%,-30.13%,62.68%,-9.89%,149.87%,50.64%,26.15%,-
Receivables,116.86,72.65,55.26,50.92,50.46,36.13,38.75,34.2
"Property, Plant & Equipment",9.84,9.87,9.9,7.69,6.98,5.88,4.82,4.71
Goodwill and Intangibles,17.25,17.72,18.19,2.91,4.62,2.63,2.63,2.63
Total Assets,614.23,651.78,617.6,508.16,458.49,376.99,278.7,258.62
Accounts Payable,0,5.29,0,0.17,0,0.43,0.04,0.54
Deferred Revenue,148.51,127.79,119.36,89.28,84.77,63.26,57.45,53.49
Total Liabilities,361.03,304.37,268.73,198.36,182.74,121.42,125.29,108.71
Common Stock,68.37,74.97,77.29,85.71,82.17,83.53,0,0
Retained Earnings,214.12,267.21,258.74,218.48,183.95,152.87,139.59,135.04
Comprehensive Income,-29.29,5.24,12.84,5.61,6.38,16,10.31,11.49
Shareholders' Equity,253.21,347.41,348.87,309.8,272.49,252.4,149.9,146.53
Total Liabilities and Equity,614.23,651.78,617.6,508.16,455.23,373.81,275.18,255.24
Net Cash / Debt,47,70.62,101.08,62.13,68.95,27.59,18.32,14.52
Net Cash / Debt Growth,-33.45%,-30.13%,62.68%,-9.89%,149.87%,50.64%,26.15%,-
Net Cash Per Share,2.20,3.26,4.61,2.79,3.08,-,-,-
Book Value Per Share,11.87,16.22,16.02,13.97,12.19,11.31,6.52,-
