Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,178.4,225.88,369.2,80.96,50.28,98.14,66.24,49.45,75.11,47.48,Upgrade
Short-Term Investments,-,-,-,-,-,-,-,-,323.61,303.47,Upgrade
Cash & Cash Equivalents,178.4,225.88,369.2,80.96,50.28,98.14,66.24,49.45,398.72,350.95,Upgrade
Cash Growth,-21.02%,-38.82%,356.01%,61.02%,-48.77%,48.16%,33.97%,-87.60%,13.61%,31.97%,Upgrade
Receivables,66.27,52.27,40.3,31.64,29.55,23.82,19.52,20.05,16.63,0,Upgrade
Other Current Assets,-,-,-,-,-,-,-,-,25.43,39.6,Upgrade
Total Current Assets,-,-,-,-,-,-,-,-,440.78,390.55,Upgrade
"Property, Plant & Equipment",112.58,101.5,119.54,74.13,46.06,48.53,47.1,48.06,33.99,39.41,Upgrade
Goodwill and Intangibles,306.67,314.72,293.98,269.2,270.27,271.34,272.41,273.55,255.9,255.91,Upgrade
Other Long-Term Assets,-,-,-,-,-,-,-,-,29.54,6.29,Upgrade
Total Long-Term Assets,-,-,-,-,-,-,-,-,319.42,301.61,Upgrade
Total Assets,"3,780.89","2,761.48","2,108.08","1,574.35","1,334.35","1,159.46",977.88,840.54,760.2,692.15,Upgrade
Accounts Payable,198.32,156.1,124.07,122.16,81.53,77.12,71.67,72.14,57.28,49.58,Upgrade
Other Current Liabilities,-,-,-,-,-,-,-,-,6.8,0.04,Upgrade
Total Current Liabilities,-,-,-,-,-,-,-,-,64.08,49.61,Upgrade
Long-Term Debt,-,-,-,-,-,-,-,-,494.18,424.13,Upgrade
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,47.95,45.36,Upgrade
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,542.13,469.49,Upgrade
Total Liabilities,"2,594.74","1,668.43","1,189.24","1,197.74",986.58,877.77,736.18,634.57,606.21,519.1,Upgrade
Total Debt,"2,292.26","1,425.39","1,014.42","1,026.89",857.93,788.54,649.91,541.91,494.18,424.13,Upgrade
Debt Growth,60.82%,40.51%,-1.21%,19.69%,8.80%,21.33%,19.93%,9.66%,16.52%,-0.88%,Upgrade
Common Stock,-121.05,-4.17,74.78,7,25.16,24.08,17.82,9.74,0.29,0,Upgrade
Retained Earnings,"1,313.19","1,105.76",849.47,372.68,336.42,264.7,235.46,200.85,156.86,169.95,Upgrade
Comprehensive Income,-5.99,-8.54,-6.9,-3.07,-13.81,-7.09,-11.58,-4.62,-3.17,3.1,Upgrade
Shareholders' Equity,"1,186.15","1,093.05",917.35,376.61,347.77,281.69,241.7,205.97,153.98,173.05,Upgrade
Total Liabilities and Equity,"3,780.89","2,761.48","2,106.59","1,574.35","1,334.35","1,159.46",977.88,840.54,760.2,692.15,Upgrade
Net Cash / Debt,"-2,113.86","-1,199.5",-645.22,-945.93,-807.65,-690.4,-583.67,-492.46,-95.46,-73.19,Upgrade
Net Cash Per Share,-63.13,-31.79,-19.97,-27.50,-22.96,-20.23,-17.44,-14.91,-2.89,-2.22,Upgrade
Working Capital,-,-,-,-,-,-,-,-,376.7,340.93,Upgrade
Book Value Per Share,36.73,30.07,28.76,11.17,10.23,8.40,7.28,6.24,4.67,5.24,Upgrade
