Year,2022,2021,2020,2019
Cash & Equivalents,16.16,32.53,0.65,2.44
Short-Term Investments,9.78,0,0,0
Cash & Cash Equivalents,25.94,32.53,0.65,2.44
Cash Growth,-20.24%,4925.39%,-73.46%,-
Receivables,14.44,8.98,5.68,5.26
Inventory,6.87,5.23,2.5,1.95
Other Current Assets,1.32,0.82,0.45,0.39
Total Current Assets,48.57,47.56,9.27,10.02
"Property, Plant & Equipment",1.78,1.71,1.81,2.08
Goodwill and Intangibles,6.27,1.93,2.22,0
Other Long-Term Assets,0,0,0.01,0
Total Long-Term Assets,8.06,3.64,4.03,2.08
Total Assets,56.63,51.2,13.3,12.1
Accounts Payable,4.05,4.98,3.27,4.24
Deferred Revenue,0.63,0.72,0.56,0.36
Current Debt,0.49,0.47,2.27,2.51
Other Current Liabilities,8.78,1.65,1.9,3.09
Total Current Liabilities,13.96,7.83,8,10.2
Long-Term Debt,0.46,0.78,1.83,1.27
Other Long-Term Liabilities,2.85,0.98,1.85,0.04
Total Long-Term Liabilities,3.31,1.76,3.68,1.3
Total Liabilities,17.26,9.59,11.68,11.51
Total Debt,0.95,1.26,4.09,3.77
Debt Growth,-24.67%,-69.27%,8.45%,-
Common Stock,38.28,39.75,0,0
Retained Earnings,1.08,1.86,1.63,0.6
Shareholders' Equity,39.36,41.61,1.63,0.6
Total Liabilities and Equity,56.63,51.2,13.3,12.1
Net Cash / Debt,25,31.27,-3.44,-1.33
Net Cash / Debt Growth,-20.06%,-,-,-
Net Cash Per Share,1.30,1.49,-0.34,-
Working Capital,34.61,39.73,1.27,-0.18
Book Value Per Share,2.05,3.81,0.16,-
