Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,107.66,180.26,322.09,186.62,265.55,135.42
Cash & Cash Equivalents,107.66,180.26,322.09,186.62,265.55,135.42
Cash Growth,-40.27%,-44.03%,72.59%,-29.72%,96.10%,-
Receivables,0,0,0,95.23,129.91,41.68
"Property, Plant & Equipment",0,0,0,20.18,1.87,2.4
Goodwill and Intangibles,133.91,134.02,134.03,142.7,152.16,161.71
Total Assets,"4,288.36","3,741.5","3,267.59","3,039.44","2,548.95","1,499.35"
Accounts Payable,0,0,0,51.4,12.67,0
Total Liabilities,"1,901.29","1,633.49","1,244.48","1,537.76","1,185.8",700.79
Total Debt,"1,694.29","1,461.21","1,102.34",665.34,647.99,528.57
Debt Growth,15.95%,32.56%,65.68%,2.68%,22.59%,-
Common Stock,621.37,625.18,621.34,"1,501.68","1,363.15",798.56
Retained Earnings,"1,074.17","1,067.77","1,136.27",-,-,-
Comprehensive Income,47.05,2.92,5.14,0,0,0
Shareholders' Equity,"1,742.58","1,695.87","1,762.76","1,501.68","1,363.15",798.56
Total Liabilities and Equity,"3,643.87","3,329.36","3,007.23","3,039.44","2,548.95","1,499.35"
Net Cash / Debt,"-1,586.63","-1,280.95",-780.25,-478.72,-382.44,-393.16
Net Cash Per Share,-7.15,-5.85,-3.55,-2.18,-,-
Book Value Per Share,7.97,7.74,8.05,6.87,-,-
