Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,44.72,78.46,99.79,61.89,59.54,52.63,46.62,9.49,12.51,11.78,Upgrade
Cash & Cash Equivalents,44.72,78.46,99.79,61.89,59.54,52.63,46.62,9.49,12.51,11.78,Upgrade
Cash Growth,-43.01%,-21.37%,61.24%,3.94%,13.13%,12.90%,391.37%,-24.16%,6.18%,-20.40%,Upgrade
Receivables,15.87,10.58,11.99,8.44,0,0,0,0,0,0,Upgrade
"Property, Plant & Equipment",59.05,66.23,68.13,63.44,58.99,55.68,48.24,47.14,57.59,74.02,Upgrade
Goodwill and Intangibles,62.15,63.59,55.12,23.02,25.84,27.51,13.65,7.5,7.7,7.95,Upgrade
Total Assets,"3,916.69","3,576.72","3,106.38","2,403.49","2,200.59","2,134.24","1,758.65","1,492.43","1,443.57","1,386.23",Upgrade
Total Liabilities,"3,562.16","3,249.25","2,824.8","2,155.73","1,980.76","1,932.74","1,603.29","1,348.69","1,311.92","1,275.16",Upgrade
Total Debt,349.54,263.31,189.8,219.65,329.41,315.84,290.72,266.56,237.51,262.67,Upgrade
Debt Growth,32.75%,38.73%,-13.59%,-33.32%,4.30%,8.64%,9.06%,12.23%,-9.58%,7.82%,Upgrade
Common Stock,105.62,104.22,94.49,79.37,79.49,79.95,45.17,43.78,41.85,33.96,Upgrade
Retained Earnings,260.39,217.77,181.64,165.86,141.35,119.83,113.45,100.42,87.72,77.13,Upgrade
Comprehensive Income,-11.48,5.48,5.45,2.54,-1.02,1.73,-3.26,-0.46,2.07,-0.02,Upgrade
Shareholders' Equity,354.53,327.47,281.58,247.76,219.83,201.51,155.36,143.74,131.64,111.07,Upgrade
Total Liabilities and Equity,"3,916.69","3,576.72","3,106.38","2,403.49","2,200.59","2,134.24","1,758.65","1,492.43","1,443.57","1,386.23",Upgrade
Net Cash / Debt,-304.83,-184.85,-90.01,-157.76,-269.87,-263.21,-244.1,-257.08,-225,-250.89,Upgrade
Book Value Per Share,27.74,25.18,21.69,19.86,17.62,16.21,14.51,13.25,17.65,14.91,Upgrade
