Year,2022,2021,2020,2019,2018,2017,2016,2015,2013,2012,2011 - 1999
Cash & Equivalents,125.61,186.86,51.43,33.21,31.35,20.54,22.9,27.18,29.39,22.69,Upgrade
Cash & Cash Equivalents,125.61,186.86,51.43,33.21,31.35,20.54,22.9,27.18,29.39,22.69,Upgrade
Cash Growth,-32.78%,263.36%,54.86%,5.92%,52.64%,-10.30%,-15.75%,-7.51%,29.53%,-10.79%,Upgrade
Receivables,0,48.93,58.84,54.15,45.85,10.79,6.15,35.14,25.21,27.57,Upgrade
"Property, Plant & Equipment",6.48,7.31,6.93,7.99,0,0,0,0,3.74,3.52,Upgrade
Goodwill and Intangibles,30.27,28.01,26.06,24.41,21.36,19.36,16.25,13.04,20.11,18.33,Upgrade
Total Assets,998.9,"1,056.56",840.98,797.41,653.34,519.61,401.45,352.43,198.61,152.74,Upgrade
Accounts Payable,21.42,12.43,11.86,20.96,25.03,16.87,15.13,9.2,14.69,11.21,Upgrade
Deferred Revenue,0,0,0,0,0,0,0,0,1.27,1.44,Upgrade
Total Liabilities,623.54,652.67,501.63,475.19,365.9,241.28,192.36,148.48,121.6,83.84,Upgrade
Total Debt,547.3,481.29,460.48,441.83,331.63,216.25,171.24,132.62,105.64,71.2,Upgrade
Debt Growth,13.71%,4.52%,4.22%,33.23%,53.35%,26.28%,29.12%,25.54%,48.38%,25.17%,Upgrade
Common Stock,354.74,368.15,317.07,290.37,254.88,247.73,188.77,189.32,60.81,59.84,Upgrade
Retained Earnings,20.62,35.74,22.29,31.85,32.57,30.6,7.32,4.44,14.54,7.01,Upgrade
Comprehensive Income,0,0,0,0,0,0,13.01,10.19,0,0,Upgrade
Shareholders' Equity,375.36,403.89,339.35,322.23,287.45,278.33,209.09,203.95,75.34,66.85,Upgrade
Total Liabilities and Equity,998.9,"1,056.56",840.98,797.41,653.34,519.61,401.45,352.43,196.95,150.69,Upgrade
Net Cash / Debt,-421.69,-294.43,-409.05,-408.62,-300.28,-195.71,-148.35,-105.44,-76.26,-48.51,Upgrade
Net Cash Per Share,-,-12.92,-19.34,-21.14,-16.05,-11.30,-10.20,-9.79,-10.06,-6.60,Upgrade
Book Value Per Share,15.37,17.72,16.05,16.67,15.36,16.06,14.38,18.94,10.67,9.41,Upgrade
