Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,5.68,16.38,9.66,18.82,12.7,7.46,9.31
Cash & Cash Equivalents,5.68,16.38,9.66,18.82,12.7,7.46,9.31
Cash Growth,-65.30%,69.54%,-48.66%,48.17%,70.15%,-19.83%,-
"Property, Plant & Equipment",2.15,2.05,2,2.01,2.17,2.3,2.48
Total Assets,269.22,254.26,235.36,208.44,200.66,176.68,177.63
Total Liabilities,235.9,207.73,186.36,157.62,151.82,152.52,154.7
Total Debt,29,10,11,10,0,0,0
Debt Growth,190.00%,-9.09%,10.00%,-,-,-,-
Common Stock,19.24,20.91,23.49,28.17,28.34,4.88,4.87
Retained Earnings,24.92,23.53,22.3,21.36,20.67,19.33,18.23
Comprehensive Income,-10.83,2.1,3.21,1.28,-0.17,-0.05,-0.18
Shareholders' Equity,33.32,46.53,49,50.81,48.84,24.15,22.93
Total Liabilities and Equity,269.22,254.26,235.36,208.44,200.66,176.68,177.63
Net Cash / Debt,-23.32,6.38,-1.34,8.82,12.7,7.46,9.31
Net Cash / Debt Growth,-,-,-,-30.57%,70.15%,-19.83%,-
Book Value Per Share,11.61,15.42,15.44,14.39,13.68,6.76,-
