Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Cash & Equivalents,130.47,79.11,93.88,112.95,102.76,99.2,71.28,60.12,58.15,59.69,Upgrade
Cash & Cash Equivalents,130.47,79.11,93.88,112.95,102.76,99.2,71.28,60.12,58.15,59.69,Upgrade
Cash Growth,64.91%,-15.73%,-16.88%,9.92%,3.59%,39.17%,18.56%,3.39%,-2.58%,-1.23%,Upgrade
"Property, Plant & Equipment",41.99,40.11,40.61,41.42,42.84,45.19,42.4,39.45,36.39,36.01,Upgrade
Goodwill and Intangibles,73.41,74.4,73.79,74.92,76.17,74.7,75.64,66.95,68.64,50,Upgrade
Total Assets,"5,797.27","5,520.78","4,912.31","4,384.18","4,311.7","4,105.21","3,710.34","3,381.02","3,089.52","2,928.64",Upgrade
Total Liabilities,"5,391.67","5,015.64","4,443.94","3,945.23","3,915.41","3,724.03","3,390.29","3,087.18","2,809.99","2,673.8",Upgrade
Total Debt,279.22,103.91,78.92,314.77,508.7,485.33,370.56,332.09,334.8,337.04,Upgrade
Debt Growth,168.71%,31.66%,-74.93%,-38.12%,4.82%,30.97%,11.58%,-0.81%,-0.66%,87.45%,Upgrade
Common Stock,121.75,134.34,141.39,140.1,137.71,136.02,96.32,86.25,85.23,78.89,Upgrade
Retained Earnings,421.34,384.01,324.85,313.36,279.87,257.08,237.69,218.92,203.31,186.14,Upgrade
Comprehensive Income,-137.49,-13.21,2.13,-14.51,-21.28,-11.92,-13.95,-11.33,-9.01,-10.19,Upgrade
Shareholders' Equity,405.61,505.14,468.36,438.95,396.29,381.18,320.05,293.84,279.53,254.84,Upgrade
Total Liabilities and Equity,"5,797.27","5,520.78","4,912.31","4,384.18","4,311.7","4,105.21","3,710.34","3,381.02","3,089.52","2,928.64",Upgrade
Net Cash / Debt,-148.76,-24.8,14.96,-201.83,-405.95,-386.14,-299.28,-271.97,-276.65,-277.35,Upgrade
Net Cash Per Share,-9.62,-1.56,0.93,-12.59,-25.44,-25.60,-20.65,-19.24,-19.84,-20.12,Upgrade
Book Value Per Share,26.36,31.89,29.23,27.48,24.91,25.34,22.17,20.87,20.12,18.55,Upgrade
