Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,16.84,105.07,80.39,127.86,24.52,22.56
Cash & Cash Equivalents,16.84,105.07,80.39,127.86,24.52,22.56
Cash Growth,-83.97%,30.71%,-37.13%,421.51%,8.69%,-
"Property, Plant & Equipment",7.88,8.13,5.67,4.2,4.66,4.45
Goodwill and Intangibles,0.27,0.34,0,0,0,0
Total Assets,951.1,837.36,740.9,766.61,665.01,641.14
Total Liabilities,811.44,689.79,612.44,691.63,592.53,572.83
Total Debt,105.49,87.91,106.85,100.28,78.97,93.33
Debt Growth,20.01%,-17.73%,6.55%,26.99%,-15.39%,-
Common Stock,54.11,62.97,51.38,0,0,0
Retained Earnings,91.76,84.88,77.36,75.29,72.79,68.66
Comprehensive Income,-6.21,-0.27,-0.27,-0.31,-0.32,-0.35
Shareholders' Equity,139.66,147.58,128.47,74.98,72.48,68.31
Total Liabilities and Equity,951.1,837.36,740.9,766.61,665.01,641.14
Net Cash / Debt,-88.65,17.16,-26.47,27.58,-54.45,-70.77
Net Cash Per Share,-6.53,1.23,-2.17,-,-,-
Book Value Per Share,10.29,10.75,10.56,5.70,-,-
