Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,959,"1,017","2,723","1,632","1,178","1,485","1,147","1,615","1,097",967.41,Upgrade
Cash & Cash Equivalents,959,"1,017","2,723","1,632","1,178","1,485","1,147","1,615","1,097",967.41,Upgrade
Cash Growth,-5.70%,-62.65%,66.85%,38.54%,-20.67%,29.47%,-28.98%,47.22%,13.40%,-43.50%,Upgrade
Goodwill and Intangibles,"1,698","1,711","1,728","1,765","1,810","1,862","1,914","1,999",21,0,Upgrade
Total Assets,"22,537","22,079","22,471","22,817","20,090","19,433","18,123","21,190","10,812","15,402.69",Upgrade
Total Liabilities,"19,522","18,986","19,030","18,487","16,291","16,155","15,057","18,460","8,975","13,516.06",Upgrade
Total Debt,"18,281","17,750","17,800","17,212","15,178","15,050","13,959","17,300","8,356","12,769.04",Upgrade
Debt Growth,2.99%,-0.28%,3.42%,13.40%,0.85%,7.82%,-19.31%,107.04%,-34.56%,1.17%,Upgrade
Common Stock,"1,023","1,305","1,656","1,690","1,682","1,561","1,549","1,534",530,525.24,Upgrade
Retained Earnings,"2,119","1,727","1,691","2,596","2,151","1,706","1,523","1,308","1,492",986.69,Upgrade
Comprehensive Income,-127,61,94,44,-34,11,-6,-33,3,28.1,Upgrade
Shareholders' Equity,"3,015","3,093","3,441","4,330","3,799","3,278","3,066","2,809","2,025","1,540.02",Upgrade
Total Liabilities and Equity,"22,537","22,079","22,471","22,817","20,090","19,433","18,123","21,269","11,000","15,056.08",Upgrade
Net Cash / Debt,"-17,322","-16,733","-15,077","-15,580","-14,000","-13,565","-12,812","-15,685","-7,259","-11,801.62",Upgrade
Net Cash Per Share,-139.23,-125.76,-111.75,-114.28,-102.92,-99.98,-94.81,-122.62,-62.98,-114.67,Upgrade
Book Value Per Share,24.28,23.32,25.54,31.82,28.00,24.24,22.76,21.96,17.64,14.96,Upgrade
