Year,2022,2021,2020,2019,2018
Cash & Equivalents,286.5,270.6,571.4,270.3,102.4
Cash & Cash Equivalents,286.5,270.6,571.4,270.3,102.4
Cash Growth,5.88%,-52.64%,111.39%,163.96%,-
Receivables,336.4,216.8,135.1,74.4,37.7
"Property, Plant & Equipment",19.6,11.7,5.7,3.1,1
Goodwill and Intangibles,51.5,0.6,0.6,0.6,0
Total Assets,"1,690.7","1,510.5",828.7,414.3,153.8
Accounts Payable,19.5,19.7,14.4,0.7,1.5
Deferred Revenue,327.7,244.2,146.2,68,27.7
Total Liabilities,823.9,522.3,287.7,116.6,52.1
Common Stock,"1,754.1","1,553.5",859.8,15.7,10.7
Retained Earnings,-859.7,-561.9,-320.6,-198.3,-89.8
Comprehensive Income,-27.6,-3.4,1.8,0.1,0
Shareholders' Equity,866.8,988.2,541,-182.5,-79.1
Total Liabilities and Equity,"1,690.7","1,510.5",828.7,-65.9,-27
Net Cash / Debt,286.5,270.6,571.4,270.3,102.4
Net Cash / Debt Growth,5.88%,-52.64%,111.39%,163.96%,-
Net Cash Per Share,4.41,4.42,16.98,24.30,9.37
Book Value Per Share,13.35,16.14,16.07,-16.41,-7.24
