Year,2022,2021,2020
Cash & Equivalents,109.97,38.99,1.96
Cash & Cash Equivalents,109.97,38.99,1.96
Cash Growth,182.05%,1893.35%,-
Receivables,23.65,0.79,0.33
Other Current Assets,26.63,0.65,0.28
Total Current Assets,160.25,40.43,2.57
"Property, Plant & Equipment",248.82,17.34,8.44
Goodwill and Intangibles,0.63,0.66,0.57
Other Long-Term Assets,160.76,76.04,0
Total Long-Term Assets,410.21,94.04,9
Total Assets,570.46,134.47,11.57
Accounts Payable,18.81,1.12,0.75
Current Debt,60.48,71.98,1.96
Other Current Liabilities,5.81,97.36,0.04
Total Current Liabilities,85.11,170.46,2.76
Long-Term Debt,47.8,11.84,0
Other Long-Term Liabilities,0.19,1.62,0
Total Long-Term Liabilities,47.99,13.46,0
Total Liabilities,133.1,183.92,2.76
Total Debt,108.29,83.82,1.96
Debt Growth,29.19%,4174.50%,-
Common Stock,919.77,13.18,11.06
Retained Earnings,-482.41,-62.64,-2.25
Shareholders' Equity,437.36,-49.45,8.82
Total Liabilities and Equity,570.46,134.47,11.57
Net Cash / Debt,1.68,-44.83,-0.01
Working Capital,75.15,-130.03,-0.19
Book Value Per Share,7.89,-0.89,-
