Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,30.72,180.15,75.79,61.34,18.47,103.59,54.05,24.65
Cash & Cash Equivalents,30.72,180.15,75.79,61.34,18.47,103.59,54.05,24.65
Cash Growth,-82.95%,137.72%,23.56%,232.03%,-82.17%,91.66%,119.31%,-
"Property, Plant & Equipment",48.4,48.6,53.09,48.34,8.58,9.31,10.45,11.37
Goodwill and Intangibles,71.98,54.53,54.89,34.54,0.41,0,0,0
Total Assets,"5,559.74","4,891.54","3,949.3","2,855.56","2,101.38","1,949.93","1,849","1,706.2"
Total Liabilities,"5,042.19","4,453.71","3,547.57","2,569","1,934.36","1,801.98","1,714.33","1,581.14"
Total Debt,132.63,50.38,70.44,170.75,93.41,3.58,3.75,3.91
Debt Growth,163.24%,-28.48%,-58.75%,82.79%,2509.92%,-4.46%,-4.19%,-
Common Stock,300.98,236.17,233.89,142.17,42.38,39.75,37.29,34.43
Retained Earnings,237.37,202.87,165.4,146.88,131.14,114.09,107.26,99.06
Comprehensive Income,-20.8,-1.21,2.43,-2.48,-6.49,-5.88,-9.88,-8.43
Shareholders' Equity,517.55,437.84,401.73,286.56,167.03,147.96,134.67,125.06
Total Liabilities and Equity,"5,559.74","4,891.54","3,949.3","2,855.56","2,101.38","1,949.93","1,849","1,706.2"
Net Cash / Debt,-101.91,129.77,5.35,-109.41,-74.94,100.01,50.3,20.74
Net Cash / Debt Growth,-,2327.91%,-,-,-,98.82%,142.60%,-
Net Cash Per Share,-14.13,18.56,0.84,-23.47,-18.28,24.60,12.49,5.19
Book Value Per Share,72.25,63.21,63.87,61.90,41.12,36.71,33.75,31.76
