Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Cash & Equivalents,55.87,26.98,108.54,121.9,129.97,30.73,74.16,26.19,29.16,51.61,Upgrade
Cash & Cash Equivalents,55.87,26.98,108.54,121.9,129.97,30.73,74.16,26.19,29.16,51.61,Upgrade
Cash Growth,107.07%,-75.14%,-10.96%,-6.21%,322.96%,-58.57%,183.22%,-10.21%,-43.49%,28.25%,Upgrade
"Property, Plant & Equipment",22.56,25.2,27.26,30.42,24.98,26.66,28.92,29.4,32.29,30.04,Upgrade
Goodwill and Intangibles,21.82,21.84,22.08,22.57,23.18,23.91,24.77,25.76,26.89,28.2,Upgrade
Total Assets,"2,645.55","2,418.48","2,279.45","1,787.83","1,755.34","1,707.62","1,657.18","1,619.96","1,524.54","1,476.14",Upgrade
Total Liabilities,"2,479.17","2,207.02","2,079.75","1,605.2","1,590.31","1,557.81","1,513.43","1,482.72","1,390.91","1,337.57",Upgrade
Total Debt,105.76,25.54,11.11,12.17,4.3,74.22,41.42,64.43,82.77,57.94,Upgrade
Debt Growth,314.05%,129.84%,-8.68%,182.74%,-94.20%,79.18%,-35.71%,-22.16%,42.84%,-3.32%,Upgrade
Common Stock,29.79,29.11,29.29,34.73,33.31,31.7,30.39,29.21,28.03,27.39,Upgrade
Retained Earnings,211.86,188.88,168.01,153.7,143.13,128.45,124.11,118.97,114.38,111.03,Upgrade
Comprehensive Income,-75.26,-6.53,2.4,-5.8,-11.41,-10.34,-10.75,-10.94,-8.79,0.16,Upgrade
Shareholders' Equity,166.39,211.46,199.7,182.63,165.03,149.81,143.75,137.24,133.63,138.58,Upgrade
Total Liabilities and Equity,"2,645.55","2,418.48","2,279.45","1,787.83","1,755.34","1,707.62","1,657.18","1,619.96","1,524.54","1,476.14",Upgrade
Net Cash / Debt,-49.89,1.44,97.43,109.74,125.67,-43.49,32.74,-38.24,-53.61,-6.34,Upgrade
Net Cash / Debt Growth,-,-98.52%,-11.22%,-12.68%,-,-,-,-,-,-,Upgrade
Net Cash Per Share,-10.63,0.31,20.29,22.54,26.01,-9.06,6.88,-8.10,-11.45,-1.36,Upgrade
Book Value Per Share,35.45,45.15,41.59,37.51,34.15,31.21,30.19,29.08,28.54,29.74,Upgrade
