Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,165.68,162.08,268.11,110.02,86.61,174.49,201.35,100.56
Short-Term Investments,-,-,-,-,-,-,161,147.22
Cash & Cash Equivalents,165.68,162.08,268.11,110.02,86.61,174.49,362.35,247.78
Cash Growth,2.22%,-39.55%,143.69%,27.02%,-50.36%,-51.84%,46.24%,-
Other Current Assets,-,-,-,-,-,-,56.2,54.68
Total Current Assets,-,-,-,-,-,-,418.55,302.46
"Property, Plant & Equipment",93.15,170.94,174.78,188.26,76.75,87.09,95.9,99.71
Long-Term Investments,-,-,-,-,-,-,91.06,83.78
Goodwill and Intangibles,399.95,539.72,176.52,154.54,149.07,178.38,172.46,177.73
Other Long-Term Assets,-,-,-,-,-,-,2.83,2.35
Total Long-Term Assets,-,-,-,-,-,-,362.24,363.56
Total Assets,"2,789.19","2,460.6","1,182.99","1,081.9",919.62,859.73,780.8,666.02
Accounts Payable,73.83,121.43,49.62,60.08,49.15,55.79,42.66,43.15
Deferred Revenue,32.26,21.65,5.39,10.17,9.48,11.98,12.34,15.72
Current Debt,-,-,-,-,-,-,147.77,8.05
Other Current Liabilities,-,-,-,-,-,-,26.61,25.54
Total Current Liabilities,-,-,-,-,-,-,229.38,92.46
Long-Term Debt,-,-,-,-,-,-,479.36,563.84
Other Long-Term Liabilities,-,-,-,-,-,-,31.2,29.1
Total Long-Term Liabilities,-,-,-,-,-,-,510.56,592.94
Total Liabilities,"2,843.33","2,300.27","1,051.08","1,031.38",938.72,852.6,739.94,685.4
Total Debt,"2,670.16","2,068.22",942.31,915.54,806.34,708.61,627.13,571.89
Debt Growth,29.10%,119.48%,2.92%,13.54%,13.79%,12.99%,9.66%,-
Common Stock,-12.33,-10.76,1.97,-4.25,60.02,46.09,-36,-37.14
Retained Earnings,4.27,203.47,160.07,93.42,-18.07,3.99,136.84,71.39
Comprehensive Income,-46.08,-32.38,-30.13,-38.66,-61.06,-42.94,-59.99,-53.63
Shareholders' Equity,-54.13,160.33,131.91,50.51,-19.1,7.14,40.86,-19.38
Total Liabilities and Equity,"2,789.19","2,460.6","1,182.99","1,081.9",919.62,859.73,780.8,666.02
Net Cash / Debt,"-2,504.48","-1,906.15",-674.2,-805.52,-719.72,-534.12,-264.78,-324.11
Net Cash Per Share,-61.95,-44.18,-16.02,-17.52,-15.01,-13.60,-6.82,-8.33
Working Capital,-,-,-,-,-,-,189.17,210
Book Value Per Share,-1.34,3.90,3.23,1.13,-0.42,0.19,1.08,-0.51
