Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,11.04,20.68,57.6,18.68,20.29,23.21,36.96,13.61,12.94,9.7
Cash & Cash Equivalents,11.04,20.68,57.6,18.68,20.29,23.21,36.96,13.61,12.94,9.7
Cash Growth,-46.64%,-64.09%,208.33%,-7.93%,-12.56%,-37.21%,171.61%,5.14%,33.38%,-
Receivables,80.58,60.95,54.59,42.83,43.79,32.53,31.49,52.54,43.44,31.31
Inventory,68.4,58.01,24.8,20.19,9.83,13.8,19.37,25.64,21.61,17.55
Other Current Assets,7.55,6.06,15.54,10.51,10.56,32.54,4.6,9.24,10.73,7.4
Total Current Assets,167.57,145.7,152.53,92.22,84.47,102.08,92.42,101.02,88.72,65.96
"Property, Plant & Equipment",57.18,47.25,39.4,41.61,39.11,44.44,53.42,52.11,44.77,36.65
Goodwill and Intangibles,65.14,69,73.36,77.95,82.59,87.24,118.34,127.11,132.5,67.08
Other Long-Term Assets,6.78,6.18,0.86,1.23,1.03,0.25,0.24,0.11,0.02,2.18
Total Long-Term Assets,129.1,122.44,113.62,120.8,122.73,131.93,172,179.33,177.29,105.91
Total Assets,296.67,268.14,266.15,213.01,207.2,234.01,264.42,280.35,266.01,171.87
Accounts Payable,24.37,26.44,18.88,16.48,16.51,13.24,11,17.83,16.29,16.08
Deferred Revenue,3.57,1.18,1.87,0.47,0.91,3.34,6.73,3.87,3.38,4.43
Current Debt,0,0,8.03,0,0,0,0,9,6.33,6.84
Other Current Liabilities,40.07,37.15,28.15,24.74,23.85,18.46,17.55,11.32,10.59,7.61
Total Current Liabilities,68.01,64.78,56.93,41.69,41.28,35.04,35.28,42.02,36.59,34.96
Long-Term Debt,285.52,303.63,328.68,307.78,305.82,303.87,301.92,300,163.48,115.47
Other Long-Term Liabilities,25.21,20.76,18.58,17.84,9.69,14.67,22.5,24.94,29.38,2.14
Total Long-Term Liabilities,310.73,324.39,347.26,325.62,315.5,318.54,324.42,324.94,192.87,117.6
Total Liabilities,378.74,389.16,404.19,367.31,356.78,353.58,359.69,366.96,229.45,152.56
Total Debt,285.52,303.63,336.71,307.78,305.82,303.87,301.92,309,169.81,122.31
Debt Growth,-5.96%,-9.83%,9.40%,0.64%,0.64%,0.64%,-2.29%,81.97%,38.84%,-
Common Stock,-108.37,-110.77,-111.85,-111.98,-112.21,-113.07,-114.83,-118.97,-24.91,-27.87
Retained Earnings,26.29,-10.25,-26.19,-42.32,-36,-1.37,25.97,36.66,5.8,-7.5
Comprehensive Income,0,0,0,0,-1.36,-5.14,-6.42,-4.3,-2.58,-1.52
Shareholders' Equity,-82.08,-121.02,-138.04,-154.3,-149.58,-119.57,-95.27,-86.61,-21.69,-36.9
Total Liabilities and Equity,296.67,268.14,266.15,213.01,207.2,234.01,264.42,280.35,207.76,115.67
Net Cash / Debt,-274.49,-282.94,-279.11,-289.1,-285.53,-280.66,-264.97,-295.39,-156.87,-112.6
Net Cash Per Share,-23.36,-24.05,-24.85,-25.82,-25.61,-25.25,-,-,-,-
Working Capital,99.56,80.93,95.61,50.53,43.2,67.04,57.14,59,52.13,31
Book Value Per Share,-7.27,-10.77,-12.29,-13.78,-13.41,-10.76,-8.62,-7.67,-1.92,-
