Year,2022,2021,2020,2019,2018
Cash & Equivalents,26.52,15.26,14.05,4.1,2.3
Short-Term Investments,285.86,151.87,9.93,33,39.8
Cash & Cash Equivalents,312.37,167.13,23.98,37.1,42.1
Cash Growth,86.90%,596.93%,-35.36%,-11.88%,-
Receivables,131.66,108.12,46.02,26.1,8.7
Other Current Assets,35.6,77.08,-16.32,-6.4,8.3
Total Current Assets,479.64,352.32,53.68,56.8,59.1
"Property, Plant & Equipment",24.63,13.41,3.82,6.5,3.4
Long-Term Investments,43.23,18.28,1.99,3.7,21.8
Goodwill and Intangibles,411.52,358.91,22.36,25.5,31.5
Other Long-Term Assets,17.22,18.41,25.37,22.3,7.2
Total Long-Term Assets,496.6,409,53.53,58,63.9
Total Assets,976.24,761.32,107.2,114.8,123
Other Current Liabilities,156.23,156.23,44.04,19,22.2
Total Current Liabilities,156.23,156.23,44.04,19,22.2
Other Long-Term Liabilities,40.81,40.81,4.09,7.1,23.1
Total Long-Term Liabilities,40.81,40.81,4.09,7.1,23.1
Total Liabilities,197.04,197.04,48.13,26.1,45.3
Common Stock,485.96,476.34,1.56,1.6,1.6
Retained Earnings,87.95,87.95,62,85.5,72.9
Comprehensive Income,-9.62,0,-6.24,-5.9,-2.9
Shareholders' Equity,564.29,564.29,57.32,81.2,71.6
Total Liabilities and Equity,761.32,761.32,105.45,107.3,116.9
Net Cash / Debt,312.37,167.13,23.98,37.1,42.1
Net Cash / Debt Growth,86.90%,596.93%,-35.36%,-11.88%,-
Working Capital,323.41,196.1,9.63,37.8,36.9
Book Value Per Share,3.83,4.14,0.43,0.61,-
