Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,82.74,3.77,19.91,6.14,17.58,56.35,17.05,41.74,9.47,0.45,Upgrade
Cash & Cash Equivalents,82.74,3.77,19.91,6.14,17.58,56.35,17.05,41.74,9.47,0.45,Upgrade
Cash Growth,2092.34%,-81.05%,224.60%,-65.10%,-68.81%,230.60%,-59.16%,340.58%,2005.33%,-,Upgrade
Receivables,1.02,2.85,6.24,22.94,5.79,29.52,147.52,238,134.4,43.59,Upgrade
Total Assets,"1,872.41","1,782.68","1,614.8","1,810.39","1,906.46","1,815.92","1,261.06",955.76,508.1,150.62,Upgrade
Accounts Payable,1.01,13.25,0.83,2.38,17.79,37.88,17.36,11,5.7,4.62,Upgrade
Total Liabilities,988.78,852.17,736.54,857.83,927.19,757.23,261.3,51.43,11.71,6.05,Upgrade
Total Debt,951.32,822.37,719.96,836.59,892.62,705.45,221.21,0,0,0,Upgrade
Debt Growth,15.68%,14.23%,-13.94%,-6.28%,26.53%,218.90%,-,-,-,-,Upgrade
Common Stock,"1,044.6","1,060.05","1,055.02","1,055.03","1,048.81","1,076.25","1,021.39",968.46,502.45,142.42,Upgrade
Retained Earnings,-160.97,-129.53,-176.77,-102.46,-69.54,-17.56,-13.97,-34.9,-4.41,1.05,Upgrade
Comprehensive Income,0,0,0,0,0,0,-7.65,-29.24,-1.65,1.1,Upgrade
Shareholders' Equity,883.63,930.51,878.26,952.56,979.27,"1,058.69",999.76,904.33,496.39,144.57,Upgrade
Total Liabilities and Equity,"1,872.41","1,782.68","1,614.8","1,810.39","1,906.46","1,815.92","1,261.06",955.76,508.1,150.62,Upgrade
Net Cash / Debt,-868.58,-818.6,-700.04,-830.45,-875.04,-649.09,-204.17,41.74,9.47,0.45,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,340.58%,2005.33%,-,Upgrade
Net Cash Per Share,-15.36,-14.41,-12.32,-14.61,-15.33,-11.56,-3.85,1.06,0.56,0.16,Upgrade
Book Value Per Share,15.62,16.38,15.46,16.75,17.16,18.86,18.87,23.04,29.52,52.35,Upgrade
