Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,120.92,131.35,106.22,127.75,142.2,45.32,38.99,40.05,30.86,38.2,Upgrade
Cash & Cash Equivalents,120.92,131.35,106.22,127.75,142.2,45.32,38.99,40.05,30.86,38.2,Upgrade
Cash Growth,-7.94%,23.66%,-16.86%,-10.16%,213.80%,16.23%,-2.66%,29.81%,-19.23%,14.06%,Upgrade
Receivables,15.03,33.17,26.47,24.98,19.76,23.84,21.49,19.46,94.11,100.87,Upgrade
"Property, Plant & Equipment",40.84,34.23,29.11,38.22,16.89,18.01,19.46,22.22,22.16,22.15,Upgrade
Goodwill and Intangibles,5.25,5.25,3.52,3.52,2.77,2.77,2.77,2.77,2.77,0.68,Upgrade
Total Assets,"1,461.11","1,547.59","1,548.94","1,334.44","1,050.81",982.17,952.42,840.47,671.07,618.76,Upgrade
Accounts Payable,5.36,10.17,8.93,5.06,2.88,3.61,4.21,3.5,1.79,2.85,Upgrade
Deferred Revenue,16.23,14.51,13.08,12.61,12.51,12.87,12.36,12.82,13.24,13.18,Upgrade
Total Liabilities,"1,168.33","1,247.83","1,284.95","1,137.73",879,833.61,819.86,722.76,573.98,531.01,Upgrade
Total Debt,161.71,251.29,297.82,217.57,187.52,157.45,152.14,131.01,29.02,18.29,Upgrade
Debt Growth,-35.65%,-15.63%,36.89%,16.03%,19.10%,3.49%,16.13%,351.43%,58.67%,53.56%,Upgrade
Common Stock,103.7,97.16,87,81.73,76.61,70.44,64.89,57.69,51.55,46.87,Upgrade
Retained Earnings,202.16,184.54,153.74,101.26,95.2,77.52,67.41,60.53,44.1,39.67,Upgrade
Comprehensive Income,-13.07,18.07,23.24,13.73,-0,0.6,0.26,-0.5,1.44,1.22,Upgrade
Shareholders' Equity,292.79,299.77,263.99,196.71,171.81,148.57,132.56,117.72,97.09,87.75,Upgrade
Total Liabilities and Equity,"1,461.11","1,547.59","1,548.94","1,334.44","1,050.81",982.17,952.42,840.47,671.07,618.76,Upgrade
Net Cash / Debt,-40.79,-119.93,-191.6,-89.82,-45.32,-112.14,-113.15,-90.95,1.83,19.91,Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-90.79%,-7.74%,Upgrade
Book Value Per Share,13.55,14.02,12.49,9.43,8.28,7.18,6.49,5.83,4.86,2.31,Upgrade
