Year,2022,2021,2020,2019,2018,2017,2016,2015
Cash & Equivalents,226.16,"1,032.61",179.73,506.71,336.52,359.52,445.7,446.8
Cash & Cash Equivalents,226.16,"1,032.61",179.73,506.71,336.52,359.52,445.7,446.8
Cash Growth,-78.10%,474.54%,-64.53%,50.57%,-6.40%,-19.34%,-0.25%,-
"Property, Plant & Equipment",35.44,31.21,29.76,29.27,15.14,5.35,4.85,3.97
Goodwill and Intangibles,163.28,127.9,100.73,19.64,21.02,5.41,0.52,0.52
Total Assets,"12,615.23","11,278.64","9,645.38","6,371.93","3,884.16","3,393.13","2,718.51","2,269.44"
Total Liabilities,"11,155.49","10,123.23","8,834.75","5,718.2","3,462.93","3,025.66","2,512.22","2,121.24"
Total Debt,930.39,"1,033.95","1,348.26",181.44,195.45,56.61,57.01,57.49
Debt Growth,-10.02%,-23.31%,643.09%,-7.17%,245.25%,-0.69%,-0.84%,-
Common Stock,637.39,499.71,348.5,348.29,176.64,176.47,61.64,30.06
Retained Earnings,832.87,657.15,461.74,304.98,244.91,192.01,145.27,118.37
Comprehensive Income,-10.52,-1.45,0.37,0.46,-0.31,-1.01,-0.63,-0.23
Shareholders' Equity,"1,459.74","1,155.41",810.62,653.73,421.24,367.47,206.29,148.2
Total Liabilities and Equity,"12,615.23","11,278.64","9,645.38","6,371.93","3,884.16","3,393.13","2,718.51","2,269.44"
Net Cash / Debt,-704.23,-1.34,"-1,168.53",325.27,141.07,302.91,388.7,389.31
Net Cash / Debt Growth,-,-,-,130.57%,-53.43%,-22.07%,-0.16%,-
Net Cash Per Share,-16.26,-0.03,-27.07,7.54,3.27,8.95,12.27,12.31
Book Value Per Share,33.82,26.76,18.80,15.18,9.79,10.86,6.51,4.69
