Year,2022,2021,2020,2019
Cash & Equivalents,13.3,31.79,0.3,0.13
Short-Term Investments,0.11,10.42,0.23,0.02
Cash & Cash Equivalents,13.41,42.21,0.53,0.15
Cash Growth,-68.24%,7844.67%,255.18%,-
Receivables,10.91,2.11,0.37,0.14
Inventory,4.47,3.37,0.4,0.53
Other Current Assets,6.85,6.96,0.07,0.56
Total Current Assets,35.64,54.66,1.36,1.38
"Property, Plant & Equipment",170.67,168.41,7.81,6.39
Long-Term Investments,0.21,0.21,0.19,0.19
Other Long-Term Assets,10.43,131.35,0,0
Total Long-Term Assets,181.31,299.97,8,6.57
Total Assets,216.96,354.62,9.36,7.95
Accounts Payable,28.92,30.08,9.18,9.08
Deferred Revenue,0.35,0.19,0.04,0
Current Debt,22.6,50.1,2.47,0.29
Other Current Liabilities,8.54,11.98,-0.04,0
Total Current Liabilities,60.41,92.35,11.65,9.38
Long-Term Debt,58.26,19.22,1.27,0.93
Other Long-Term Liabilities,3.51,1.16,0.49,0.42
Total Long-Term Liabilities,61.76,20.38,1.76,1.36
Total Liabilities,122.18,112.73,13.41,10.73
Total Debt,80.86,69.32,3.74,1.22
Debt Growth,16.65%,1751.03%,205.91%,-
Common Stock,323.47,279.54,-4.05,-2.78
Retained Earnings,-240.44,-338.71,0,-
Shareholders' Equity,83.03,-59.16,-4.05,-2.78
Total Liabilities and Equity,205.2,53.57,9.36,7.95
Net Cash / Debt,-67.45,-27.11,-3.21,-1.07
Net Cash Per Share,-2.61,-4.91,-,-
Working Capital,-24.77,-37.7,-10.29,-8
Book Value Per Share,3.21,-10.72,-0.09,-
