Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,24.19,22,15.61,27.55,33.73,38.94,28.89,22.77,16.14,95.98,Upgrade
Cash & Cash Equivalents,24.19,22,15.61,27.55,33.73,38.94,28.89,22.77,16.14,95.98,Upgrade
Cash Growth,9.96%,40.92%,-43.33%,-18.34%,-13.37%,34.75%,26.90%,41.05%,-83.18%,-48.88%,Upgrade
Receivables,8.81,8.04,11.25,6.37,5.61,0.78,0.88,0,0,0,Upgrade
Total Assets,796.47,851.02,718.99,631.22,514.1,485.53,446.23,441.71,426.84,374.15,Upgrade
Accounts Payable,20.06,22.38,18.97,17.53,21.25,15.84,14.03,14.18,10.98,37.15,Upgrade
Total Liabilities,464.09,501.27,406.09,318.27,198.8,198.58,196.85,197.66,201.48,147.15,Upgrade
Total Debt,441.25,476.8,385.25,299.07,175.98,182.21,182.34,183.48,190.5,110,Upgrade
Debt Growth,-7.45%,23.76%,28.82%,69.94%,-3.42%,-0.07%,-0.62%,-3.68%,73.18%,-22.12%,Upgrade
Common Stock,339.26,339.18,300.02,300.77,301.58,302.31,272.26,271.7,228.75,228.66,Upgrade
Retained Earnings,-6.88,10.57,12.87,12.19,13.72,-15.36,-5.42,-6.24,-3.39,-1.66,Upgrade
Comprehensive Income,0,0,0,0,0,0,-17.45,-21.4,0,0,Upgrade
Shareholders' Equity,332.39,349.75,312.9,312.96,315.3,286.95,249.39,244.05,225.36,227,Upgrade
Total Liabilities and Equity,796.47,851.02,718.99,631.22,514.1,485.53,446.23,441.71,426.84,374.15,Upgrade
Net Cash / Debt,-417.06,-454.8,-369.64,-271.52,-142.25,-143.28,-153.44,-160.71,-174.36,-14.02,Upgrade
Net Cash Per Share,-17.95,-21.50,-17.99,-13.22,-6.93,-7.37,-8.38,-10.49,-11.64,-0.94,Upgrade
Book Value Per Share,14.31,16.54,15.23,15.23,15.35,14.77,13.63,15.93,15.04,15.16,Upgrade
