Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,0.48,2.48,0.02,0.03,0.01,0,0,0.01,0,0,Upgrade
Cash & Cash Equivalents,0.48,2.48,0.02,0.03,0.01,0,0,0.01,0,0,Upgrade
Cash Growth,-80.64%,14068.05%,-31.11%,219.42%,139.32%,294.31%,-83.90%,222.67%,-47.22%,58.18%,Upgrade
Receivables,2.43,1.36,0,0.01,0.01,0,0,0.01,0,0,Upgrade
Other Current Assets,-0,0.65,0.46,0.03,0.03,0.02,0.16,0.21,0,0,Upgrade
Total Current Assets,2.91,4.48,0.48,0.07,0.04,0.02,0.16,0.22,0,0,Upgrade
"Property, Plant & Equipment",0,0,0,0,0,0,0.54,0.92,0,0,Upgrade
Long-Term Investments,13.3,6.42,1.41,0.65,0.02,0,0,0.02,0,0,Upgrade
Goodwill and Intangibles,15.54,14.8,0.14,0,0,0,0,0,0,0,Upgrade
Other Long-Term Assets,0.01,0.01,0.19,0.01,0.03,0,0.01,0.16,0,0,Upgrade
Total Long-Term Assets,28.85,21.23,1.74,0.65,0.06,0,0.55,1.09,0,0,Upgrade
Total Assets,31.76,25.72,2.21,0.72,0.1,0.02,0.7,1.31,0,0,Upgrade
Accounts Payable,0.91,4.15,0.3,0.32,0.3,0.32,0.32,0.22,0.19,0.18,Upgrade
Deferred Revenue,0,0,0,0.02,0,0,0,0.02,0,0,Upgrade
Current Debt,3.65,2.94,1.06,0.12,0.14,1.86,0.11,0.1,0.08,0.48,Upgrade
Other Current Liabilities,1.46,2.06,0.18,0.13,0.14,0.43,0.33,0.23,0.02,0.02,Upgrade
Total Current Liabilities,6.03,9.15,1.53,0.58,0.58,2.61,0.76,0.56,0.29,0.69,Upgrade
Long-Term Debt,0.5,2.39,0,1,1,0,1.72,1.7,0.43,0,Upgrade
Total Long-Term Liabilities,0.5,2.39,0,1,1,0,1.72,1.7,0.43,0,Upgrade
Total Liabilities,6.52,11.54,1.53,1.58,1.58,2.61,2.49,2.26,0.71,0.69,Upgrade
Total Debt,4.14,5.33,1.06,1.12,1.14,1.86,1.83,1.8,0.51,0.48,Upgrade
Debt Growth,-22.25%,404.05%,-5.46%,-1.59%,-38.83%,1.59%,1.55%,254.65%,5.23%,7.35%,Upgrade
Common Stock,22.73,15.17,3.14,2.2,2.17,1.19,1.17,1.17,0.92,0.92,Upgrade
Retained Earnings,2.51,-0.99,-2.46,-3.07,-3.65,-3.78,-2.95,-2.12,-1.63,-1.6,Upgrade
Shareholders' Equity,25.24,14.18,0.68,-0.87,-1.48,-2.59,-1.78,-0.95,-0.71,-0.68,Upgrade
Total Liabilities and Equity,31.76,25.72,2.21,0.72,0.1,0.02,0.7,1.31,0,0,Upgrade
Net Cash / Debt,-3.66,-2.85,-1.04,-1.09,-1.13,-1.85,-1.83,-1.8,-0.51,-0.48,Upgrade
Net Cash Per Share,-1.33,-1.73,-2.58,-2.95,-3.54,-7.24,-7.22,-7.18,-2.02,-1.92,Upgrade
Working Capital,-3.11,-4.67,-1.06,-0.52,-0.54,-2.59,-0.61,-0.34,-0.28,-0.68,Upgrade
Book Value Per Share,9.47,11.34,1.69,-2.33,-4.65,-10.12,-7.05,-3.79,-2.84,-2.73,Upgrade
