Year,2022,2021,2020,2019
Cash & Equivalents,41.18,193.45,316.45,124.03
Cash & Cash Equivalents,41.18,193.45,316.45,124.03
Cash Growth,-78.71%,-38.87%,155.13%,-
Receivables,6.89,5.37,5.75,5.39
"Property, Plant & Equipment",55.73,53.58,45.07,34.28
Goodwill and Intangibles,0,0,0,15.46
Total Assets,"2,043.34","1,914.21","1,942.55","1,854.14"
Total Liabilities,"1,649.62","1,484.74","1,736.95","1,616.52"
Total Debt,347.13,221.78,365.78,309.11
Debt Growth,56.52%,-39.37%,18.33%,-
Common Stock,246.67,260.39,0.83,0.83
Retained Earnings,171.76,169.46,205.8,237.31
Comprehensive Income,-24.72,-0.37,-1.03,-0.52
Shareholders' Equity,393.72,429.47,205.6,237.62
Total Liabilities and Equity,"2,043.34","1,914.21","1,942.55","1,854.14"
Net Cash / Debt,-305.94,-28.33,-49.33,-185.07
Net Cash Per Share,-11.65,-2.33,-,-
Book Value Per Share,15.05,35.29,9.45,-
