Year,2022,2021,2020,2019,2018,2015,2014
Cash & Equivalents,78.7,174.45,118.72,60.51,15.57,7.85,8.48
Cash & Cash Equivalents,78.7,174.45,118.72,60.51,15.57,7.85,8.48
Cash Growth,-54.89%,46.94%,96.21%,288.56%,98.44%,-7.50%,-
"Property, Plant & Equipment",30.06,32.94,20.16,20.27,3.34,2.04,2.21
Goodwill and Intangibles,33.41,34.42,22.2,23.63,2.69,0.37,0.37
Total Assets,"3,141.05","2,665.14","1,498.26",960.81,539.59,268.91,239.35
Total Liabilities,"2,881.67","2,388","1,390.06",868.47,499.97,244.81,214.57
Total Debt,359.53,75.65,426.66,134.6,82.87,47.62,29.89
Debt Growth,375.26%,-82.27%,216.99%,62.43%,74.00%,59.31%,-
Common Stock,196.21,194.56,67.02,66.46,16.71,6.62,9.21
Retained Earnings,108.26,85.98,40.69,25.43,23.32,17.69,15.84
Comprehensive Income,-45.1,-3.63,0.26,0.23,-0.62,-0.2,-0.26
Shareholders' Equity,259.37,276.91,107.98,92.11,39.41,24.1,24.79
Total Liabilities and Equity,"3,141.05","2,664.91","1,498.03",960.59,539.38,268.91,239.35
Net Cash / Debt,-280.83,98.8,-307.94,-74.09,-67.29,-39.78,-21.41
Book Value Per Share,13.69,14.75,12.59,14.13,6.04,11.72,17.61
