Year,2021,2020,2019
Cash & Equivalents,5.32,85.82,7.01
Short-Term Investments,187,58.48,3.46
Cash & Cash Equivalents,192.32,144.3,10.47
Cash Growth,33.27%,1278.88%,-
Receivables,9.79,8.77,9.75
Other Current Assets,-1.82,-45.53,-1.88
Total Current Assets,200.3,107.54,18.33
"Property, Plant & Equipment",190.13,24.58,8.66
Long-Term Investments,0,0.08,0.23
Goodwill and Intangibles,0.34,0.6,0
Other Long-Term Assets,61.51,45.53,1.88
Total Long-Term Assets,251.98,70.79,10.77
Total Assets,452.27,178.33,29.1
Accounts Payable,12.38,3.48,2.13
Current Debt,12.76,6.31,4.28
Other Current Liabilities,1.01,0.07,0.83
Total Current Liabilities,26.15,9.86,7.24
Long-Term Debt,35.54,40.32,0.78
Other Long-Term Liabilities,1.53,0,0
Total Long-Term Liabilities,37.07,40.32,0.78
Total Liabilities,63.22,50.18,8.02
Total Debt,48.3,46.63,5.06
Debt Growth,3.60%,822.00%,-
Common Stock,425.9,265,188.54
Retained Earnings,-60.24,-146.9,-173.17
Comprehensive Income,23.4,10.06,5.71
Shareholders' Equity,389.05,128.15,21.09
Total Liabilities and Equity,452.27,178.33,29.1
Net Cash / Debt,144.02,97.68,5.41
Net Cash / Debt Growth,47.44%,1706.07%,-
Net Cash Per Share,1.70,1.33,0.08
Working Capital,174.14,97.68,11.09
Book Value Per Share,5.01,1.85,0.32
