Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Cash & Equivalents,89.4,75.3,160.6,155.2,102,74.3,70.8,59.1,114.4,41.07,Upgrade
Cash & Cash Equivalents,89.4,75.3,160.6,155.2,102,74.3,70.8,59.1,114.4,41.07,Upgrade
Cash Growth,18.73%,-53.11%,3.48%,52.16%,37.28%,4.94%,19.80%,-48.34%,178.57%,-71.87%,Upgrade
Receivables,750.4,721,728.7,285.7,333.1,326.7,304.7,301.1,295.8,279.08,Upgrade
"Property, Plant & Equipment",23.5,28.9,36.5,37.8,18.2,13.9,22.2,24.9,21,16.62,Upgrade
Goodwill and Intangibles,49.8,49.8,49.8,49.8,43.9,44.1,44.4,44.7,45.2,45.88,Upgrade
Total Assets,"3,716.7","3,783.2","3,922.6","4,004.1","3,919.2","3,840.1","3,773.4","3,755.8","3,769.7","3,643.45",Upgrade
Accounts Payable,28.7,24.1,22.9,29.8,37.1,23.7,24.2,24.1,20.4,18.71,Upgrade
Deferred Revenue,339.5,304.7,299.1,337.1,336.3,318.3,310.3,308.9,310.8,303.97,Upgrade
Total Liabilities,"2,772.5","2,570.1","2,709.8","2,838.3","2,901","2,892.4","2,932.8","2,995","3,082.9","3,074.75",Upgrade
Total Debt,196.1,16.6,39.9,17.8,20,20,32,32,92,102,Upgrade
Debt Growth,1081.33%,-58.40%,124.16%,-11.00%,-,-37.50%,-,-65.22%,-9.80%,-8.93%,Upgrade
Common Stock,-212.5,-186,-150.2,-58.3,1.2,-1.9,-11.1,-4.8,-15.4,-23.91,Upgrade
Retained Earnings,"1,295.6","1,338.5","1,247.9","1,158.8","1,030.7",842.2,777.2,682,595.3,502.2,Upgrade
Comprehensive Income,-138.9,60.6,115.1,65.3,-13.7,107.4,74.5,83.6,106.9,90.42,Upgrade
Shareholders' Equity,944.2,"1,213.1","1,212.8","1,165.8","1,018.2",947.7,840.6,760.8,686.8,568.7,Upgrade
Total Liabilities and Equity,"3,716.7","3,783.2","3,922.6","4,004.1","3,919.2","3,840.1","3,773.4","3,755.8","3,769.7","3,643.45",Upgrade
Net Cash / Debt,-106.7,58.7,120.7,137.4,82,54.3,38.8,27.1,22.4,-60.93,Upgrade
Net Cash / Debt Growth,-,-51.37%,-12.15%,67.56%,51.01%,39.95%,43.17%,20.98%,-,-,Upgrade
Book Value Per Share,34.72,43.38,41.79,36.64,31.04,29.22,26.20,23.72,21.81,18.22,Upgrade
