Year,2022,2021,2020,2019,2018,2017
Cash & Equivalents,130.6,93.2,107.53,64.84,58.08,37.49
Cash & Cash Equivalents,130.6,93.2,107.53,64.84,58.08,37.49
Cash Growth,40.13%,-13.33%,65.83%,11.65%,54.90%,-
Receivables,9.58,7.7,9.6,5.42,5.15,3.85
"Property, Plant & Equipment",14.71,14.86,14.29,14.15,14.22,13.96
Goodwill and Intangibles,9.15,2.49,0,0,0,0
Total Assets,"1,925.75","1,647.4","1,643.17","1,277.36","1,100.61",807.95
Total Liabilities,"1,727.47","1,458.61","1,475.5","1,140.32",979.36,739.15
Total Debt,172.25,29.29,14.83,54.81,54.78,68.53
Debt Growth,487.99%,97.48%,-72.93%,0.05%,-20.07%,-
Common Stock,120,124.4,122.51,107.51,106.43,57.13
Retained Earnings,86.83,64.19,44.18,29.1,15.19,11.69
Comprehensive Income,-8.55,0.2,0.98,0.42,-0.37,-0.02
Shareholders' Equity,198.28,188.79,167.67,137.03,121.25,68.8
Total Liabilities and Equity,"1,925.75","1,647.4","1,643.17","1,277.36","1,100.61",807.95
Net Cash / Debt,-41.65,63.91,92.69,10.04,3.3,-31.03
Net Cash / Debt Growth,-,-31.06%,823.34%,204.21%,-,-
Net Cash Per Share,-,-,-,-,0.50,-6.49
Book Value Per Share,26.67,24.86,22.27,16.59,18.23,14.40
