Year,2022,2021,2020
Cash & Equivalents,960,"1,533",889
Cash & Cash Equivalents,960,"1,533",889
Cash Growth,-37.38%,72.44%,-
Receivables,"5,417","3,613","3,184"
"Property, Plant & Equipment",0,21,19
Goodwill and Intangibles,"5,178","3,990","3,674"
Total Assets,"54,628","48,730","39,756"
Accounts Payable,"1,260","1,297","1,179"
Total Liabilities,"52,223","44,245","35,682"
Total Debt,"1,114",991,603
Debt Growth,12.41%,64.34%,-
Common Stock,"3,162","2,750","2,741"
Retained Earnings,"2,061","1,001",136
Comprehensive Income,"-2,818",734,"1,197"
Shareholders' Equity,"2,405","4,485","4,074"
Total Liabilities and Equity,"54,628","48,730","39,756"
Net Cash / Debt,-154,542,286
Net Cash / Debt Growth,-,89.51%,-
Net Cash Per Share,-1.34,5.16,-
Book Value Per Share,20.91,42.71,-
