Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,176.82,379.69,307.05,297.12,327.56,251.6,130.21
Cash & Cash Equivalents,176.82,379.69,307.05,297.12,327.56,251.6,130.21
Cash Growth,-53.43%,23.66%,3.34%,-9.29%,30.19%,93.22%,-
"Property, Plant & Equipment",29.85,26.5,27.19,25.82,11.17,8.4,1.11
Goodwill and Intangibles,44.04,45.33,47.14,44.65,21.8,15.14,0.8
Total Assets,"2,513.33","2,350.7","2,195.67","1,994.18","1,478.4","1,245.79",675.3
Total Liabilities,"2,196.19","2,088.09","1,943.08","1,739.96","1,277.64","1,127.16",597.24
Total Debt,89.33,84.6,89.02,23.84,8.16,11.39,0
Debt Growth,5.59%,-4.97%,273.40%,192.13%,-28.33%,-,-
Common Stock,204.59,157.39,167.53,184.33,149.54,81.59,46.37
Retained Earnings,127.38,103.06,82.37,68.64,51.32,36.83,31.6
Comprehensive Income,-14.82,2.17,2.7,1.25,-0.1,0.21,0.09
Shareholders' Equity,317.15,262.61,252.59,254.22,200.75,118.64,78.06
Total Liabilities and Equity,"2,513.33","2,350.7","2,195.67","1,994.18","1,478.4","1,245.79",675.3
Net Cash / Debt,87.48,295.09,218.03,273.28,319.4,240.21,130.21
Net Cash / Debt Growth,-70.35%,35.34%,-20.22%,-14.44%,32.97%,84.47%,-
Net Cash Per Share,6.67,27.12,18.22,23.24,32.95,36.84,23.89
Book Value Per Share,24.16,24.13,21.11,21.62,20.71,18.20,14.35
