Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,0.95,5.47,1.11,0.76,3.18,0.23,0.04,0.43,0.01,0.42,Upgrade
Short-Term Investments,0,0.04,0.02,0.01,0.03,0.32,0,0,0.79,1.18,Upgrade
Cash & Cash Equivalents,0.95,5.51,1.13,0.77,3.22,0.55,0.04,0.43,0.8,1.6,Upgrade
Cash Growth,-82.82%,388.36%,46.67%,-76.08%,484.55%,1347.37%,-91.22%,-46.08%,-49.72%,2.70%,Upgrade
Receivables,10.46,5.61,0.62,0,0,0,0,0.03,0,0,Upgrade
Other Current Assets,8.93,0.33,0.01,0.38,0.18,0.04,0.03,0,0.21,0.02,Upgrade
Total Current Assets,20.34,11.45,1.75,1.15,3.4,0.59,0.07,0.46,1.01,1.62,Upgrade
"Property, Plant & Equipment",93.84,80.91,7.06,0.03,0.01,0.01,0,0,0,0,Upgrade
Long-Term Investments,16.63,0.33,0,0,0,0,0,0,0,0,Upgrade
Goodwill and Intangibles,0,0,0.02,0,0,0,0,0,0,0,Upgrade
Other Long-Term Assets,2.52,52.62,0.97,0,0,0,0,0,0,0,Upgrade
Total Long-Term Assets,112.99,133.85,8.04,0.03,0.01,0.01,0,0,0,0,Upgrade
Total Assets,133.33,145.29,9.8,1.18,3.4,0.6,0.07,0.47,1.01,1.62,Upgrade
Accounts Payable,10.57,7.75,1.88,0.37,0.31,0.24,0.23,0.13,0.25,0.26,Upgrade
Current Debt,24.94,12.33,0.31,0.02,2.64,3.2,0.41,0,2.46,1.49,Upgrade
Other Current Liabilities,0,0,0,0.25,0.25,0.25,0.18,0.15,0,0,Upgrade
Total Current Liabilities,35.51,20.07,2.19,0.64,3.19,3.69,0.82,0.28,2.7,1.75,Upgrade
Long-Term Debt,6.32,10.64,0.04,0,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,15.33,0,0,0,0,0,0.08,0.19,0,0.01,Upgrade
Total Long-Term Liabilities,21.65,10.64,0.04,0,0,0,0.08,0.19,0,0.01,Upgrade
Total Liabilities,57.16,30.71,2.23,0.64,3.19,3.69,0.9,0.47,2.7,1.76,Upgrade
Total Debt,31.26,22.97,0.35,0.02,2.64,3.2,0.41,0,2.46,1.49,Upgrade
Debt Growth,36.12%,6469.17%,1489.16%,-99.17%,-17.76%,689.16%,-,-,65.23%,-,Upgrade
Common Stock,194.31,186.55,35.12,34.51,30.28,23.4,22.65,22.34,5.5,5.48,Upgrade
Retained Earnings,-122.26,-71.12,-26.16,-33.9,-30,-26.45,-23.48,-22.34,-7.3,-6.1,Upgrade
Comprehensive Income,5.02,-0.52,-1.34,-0.07,-0.07,-0.05,0.01,0,0.1,0.48,Upgrade
Shareholders' Equity,77.07,114.91,7.62,0.54,0.21,-3.1,-0.83,-0.01,-1.69,-0.14,Upgrade
Total Liabilities and Equity,134.23,145.62,9.85,1.18,3.4,0.6,0.07,0.47,1.01,1.62,Upgrade
Net Cash / Debt,-30.32,-17.46,0.78,0.75,0.58,-2.65,-0.37,0.43,-1.65,0.11,Upgrade
Net Cash / Debt Growth,-,-,4.18%,28.79%,-,-,-,-,-,-92.93%,Upgrade
Net Cash Per Share,-2.39,-1.86,0.66,4.26,6.16,-46.31,-7.30,41.98,-228.11,15.17,Upgrade
Working Capital,-15.17,-8.63,-0.44,0.51,0.2,-3.1,-0.75,0.18,-1.69,-0.13,Upgrade
Book Value Per Share,6.07,12.24,6.44,3.05,2.25,-54.05,-16.49,-0.58,-233.08,-19.17,Upgrade
