Year,2022,2021,2020,2008,2007,2006,2005,2004,2003,2002,2001
Cash & Equivalents,46.3,11.75,0,0.88,2.44,0.15,0.49,2.18,1.04,0.48,Upgrade
Short-Term Investments,0,0,0,0.13,0.95,6,6.89,6.87,0,0.02,Upgrade
Cash & Cash Equivalents,46.3,11.75,0,1,3.39,6.15,7.39,9.05,1.04,0.5,Upgrade
Cash Growth,294.03%,-,-,-70.42%,-44.84%,-16.83%,-18.38%,770.67%,109.92%,19983.94%,Upgrade
Receivables,0.23,0,0,0.09,0.14,0.23,0.75,0.73,0.21,0.06,Upgrade
Inventory,0,0,0,0,0.11,0.11,0.11,0,0,0,Upgrade
Other Current Assets,1.34,0.01,0,0.03,0.15,0.17,-0.28,0.03,0.02,0.01,Upgrade
Total Current Assets,47.86,11.76,0,1.13,3.79,6.65,7.96,9.81,1.28,0.56,Upgrade
"Property, Plant & Equipment",70.67,3.3,0,0.04,0.13,0.18,0.21,0.26,0.11,0.16,Upgrade
Long-Term Investments,0,0,0,0,0,0,0.5,0.5,0,0,Upgrade
Goodwill and Intangibles,0,0,0,0.07,0.28,0.23,0.18,0.15,0.13,0.11,Upgrade
Other Long-Term Assets,1.45,0,0,0.03,0.03,0.1,0.33,0,0,0,Upgrade
Total Long-Term Assets,72.12,3.3,0,0.14,0.43,0.51,1.22,0.91,0.24,0.26,Upgrade
Total Assets,119.98,15.05,0,1.27,4.22,7.16,9.18,10.72,1.52,0.83,Upgrade
Accounts Payable,13.26,0.25,0,0.19,0.32,0.6,0.59,0.62,0.25,0.07,Upgrade
Deferred Revenue,3.88,0,0,0,0,0,0,0,0,0,Upgrade
Current Debt,2.34,2.14,1.9,0,0,0,0,0,0,0.09,Upgrade
Other Current Liabilities,9.52,0.12,0.12,0.29,0.27,0.23,0.18,0.14,0.13,0.14,Upgrade
Total Current Liabilities,29,2.5,2.02,0.48,0.59,0.83,0.77,0.76,0.37,0.3,Upgrade
Long-Term Debt,11.21,0,0,0,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,0.54,0,0,0,0,0,0,0,0,0,Upgrade
Total Long-Term Liabilities,11.75,0,0,0,0,0,0,0,0,0,Upgrade
Total Liabilities,40.75,2.5,2.02,0.48,0.59,0.83,0.77,0.76,0.37,0.3,Upgrade
Total Debt,13.54,2.14,1.9,0,0,0,0,0,0,0.09,Upgrade
Debt Growth,534.38%,12.43%,-,-,-,-,-,-,-,-,Upgrade
Common Stock,128.33,19.04,19.04,13.42,12.97,12.88,12.87,12.96,3.61,1.97,Upgrade
Retained Earnings,-56.07,-21.62,-21.06,-12.63,-9.34,-6.55,-4.3,-2.88,-2.46,-1.44,Upgrade
Comprehensive Income,0,0,0,0,0,0,-0.16,-0.12,0,0,Upgrade
Shareholders' Equity,72.26,-2.58,-2.02,0.79,3.63,6.33,8.41,9.96,1.15,0.53,Upgrade
Total Liabilities and Equity,113,-0.08,-,1.27,4.22,7.16,9.18,10.72,1.52,0.83,Upgrade
Net Cash / Debt,32.76,9.62,-1.9,1,3.39,6.15,7.39,9.05,1.04,0.41,Upgrade
Net Cash / Debt Growth,240.67%,-,-,-70.42%,-44.84%,-16.83%,-18.38%,770.67%,156.54%,16334.31%,Upgrade
Net Cash Per Share,0.57,6.36,-1.26,0.72,2.48,4.49,5.39,8.77,-,-,Upgrade
Working Capital,18.86,9.26,-2.02,0.65,3.19,5.82,7.19,9.05,0.9,0.26,Upgrade
Book Value Per Share,1.26,-1.71,-1.33,0.57,2.65,4.62,6.14,9.65,1.74,3.59,Upgrade
