Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cash & Equivalents,40.14,508.84,34.7,19.09,18.87,18.28,38.5,43.53,54.11,40.07,Upgrade
Cash & Cash Equivalents,40.14,508.84,34.7,19.09,18.87,18.28,38.5,43.53,54.11,40.07,Upgrade
Cash Growth,-92.11%,1366.61%,81.79%,1.12%,3.27%,-52.53%,-11.55%,-19.55%,35.02%,-44.17%,Upgrade
"Property, Plant & Equipment",24.34,32.68,8.77,6.15,7.04,7.37,8.05,8.67,9.47,9.82,Upgrade
Goodwill and Intangibles,14.35,16.69,0.71,0.78,0.85,0.95,1.05,0,0,0,Upgrade
Total Assets,"1,623.36","1,972.18",848.41,702.63,644.8,643.89,605.03,567.49,537.05,512.99,Upgrade
Total Liabilities,"1,489.94","1,810.2",765.81,626.52,574.06,578.78,545.98,511.19,476.42,454.96,Upgrade
Total Debt,9.59,10.48,33.59,0,0,34.09,19.7,23.16,18,16.3,Upgrade
Debt Growth,-8.49%,-68.81%,-,-,-,73.06%,-14.92%,28.68%,10.42%,307.43%,Upgrade
Common Stock,118.56,117.76,39.18,38.92,33.37,28.07,27.07,28.25,34.61,34.64,Upgrade
Retained Earnings,63.48,46.44,41.96,37.24,38.65,37.92,32.76,28.17,25.98,24.82,Upgrade
Comprehensive Income,-48.62,-2.21,1.46,-0.04,-1.28,-0.88,-0.78,-0.12,0.04,-1.43,Upgrade
Shareholders' Equity,133.42,161.99,82.6,76.11,70.74,65.11,59.05,56.3,60.63,58.03,Upgrade
Total Liabilities and Equity,"1,623.36","1,972.18",848.41,702.63,644.8,643.89,605.03,567.49,537.05,512.99,Upgrade
Net Cash / Debt,30.55,498.37,1.11,19.09,18.87,-15.82,18.8,20.37,36.11,23.78,Upgrade
Net Cash / Debt Growth,-93.87%,44960.13%,-94.20%,1.12%,-,-,-7.71%,-43.59%,51.89%,-64.92%,Upgrade
Book Value Per Share,25.04,30.52,30.43,28.27,26.49,24.50,22.61,20.96,20.37,19.57,Upgrade
