Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash & Equivalents,103.7,119.67,160.91,80.22,53.35,20.62,14.28,11.34,11.75,16.42
Cash & Cash Equivalents,103.7,119.67,160.91,80.22,53.35,20.62,14.28,11.34,11.75,16.42
Cash Growth,-13.35%,-25.63%,100.59%,50.35%,158.72%,44.39%,25.94%,-3.50%,-28.42%,-
"Property, Plant & Equipment",17.84,18.4,20.3,22.28,23.45,16.71,14.13,10.28,10.59,4.61
Goodwill and Intangibles,13.25,15.03,18.13,38.95,39.36,8.24,8.77,9.31,10.52,2.16
Total Assets,"1,408.94","1,425.48","1,416.72","1,321.54","1,281.7",934.49,846.08,830.68,846.31,546.49
Total Liabilities,"1,298.78","1,292.36","1,282.19","1,170.44","1,144.08",841.23,756.61,743.78,764.4,501.48
Total Debt,22.7,56.87,49.06,44.57,50.98,64.11,55.03,60.45,61.82,19.38
Debt Growth,-60.09%,15.92%,10.06%,-12.57%,-20.48%,16.50%,-8.97%,-2.22%,218.92%,-
Common Stock,72.54,76.52,80,81.5,81.22,39.32,38.94,38.6,38.58,4.96
Retained Earnings,63.86,57.53,51.13,66.96,57.84,55.28,51.71,47.73,42.77,40.81
Comprehensive Income,-26.24,-0.93,3.4,2.65,-1.44,-1.34,-1.18,0.58,0.57,-0.76
Shareholders' Equity,110.16,133.12,134.53,151.1,137.63,93.26,89.47,86.9,81.91,45.01
Total Liabilities and Equity,"1,408.94","1,425.48","1,416.72","1,321.54","1,281.7",934.49,846.08,830.68,846.31,546.49
Net Cash / Debt,81,62.81,111.86,35.65,2.37,-43.48,-40.75,-49.11,-50.07,-2.97
Net Cash / Debt Growth,28.97%,-43.85%,213.80%,1401.52%,-,-,-,-,-,-
Net Cash Per Share,15.73,11.65,20.69,6.54,0.47,-10.58,-9.97,-12.06,-19.00,-1.20
Book Value Per Share,21.45,24.73,24.88,27.80,27.63,22.81,21.92,21.34,31.10,18.27
