Year,2022,2021,2020,2019,2018,2017,2016
Cash & Equivalents,82.97,115.46,106.31,86.04,77.73,63.25,20.13
Cash & Cash Equivalents,82.97,115.46,106.31,86.04,77.73,63.25,20.13
Cash Growth,-28.14%,8.61%,23.56%,10.69%,22.89%,214.27%,-
"Property, Plant & Equipment",13.5,13.26,11.33,13.48,4.63,4.48,5.07
Goodwill and Intangibles,12.76,12.72,7.36,7.02,6.99,6.77,6.78
Total Assets,"2,094.5","1,726.69","1,366.83","1,179.52","1,044.19",901,761.25
Total Liabilities,"1,917.58","1,561.47","1,223.46","1,038.94",914.4,809.52,679.97
Total Debt,10.21,10.31,13.43,10.13,0,25,10
Debt Growth,-0.91%,-23.25%,32.62%,-,-,150.00%,-
Common Stock,89.07,87.36,87.18,93.91,97.46,73.21,72.11
Retained Earnings,105.69,79.06,55.35,46.48,32.88,18.62,9.39
Comprehensive Income,-17.84,-1.2,0.84,0.19,-0.55,-0.35,-0.21
Shareholders' Equity,176.92,165.22,143.37,140.58,129.79,91.48,81.28
Total Liabilities and Equity,"2,094.5","1,726.69","1,366.83","1,179.52","1,044.19",901,761.25
Net Cash / Debt,72.76,105.15,92.88,75.91,77.73,38.25,10.13
Net Cash / Debt Growth,-30.81%,13.21%,22.36%,-2.34%,103.21%,277.74%,-
Book Value Per Share,11.64,10.92,9.50,8.95,8.22,6.02,-
