Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.98,1.54,0.71,0,-0.29,-0.2,-0.1,-0.01
Other Operating Activities,-2.08,-1.73,-0.72,-0.24,0.25,0.15,-0.54,-0.08
Operating Cash Flow,-0.1,-0.19,-0.02,-0.24,-0.04,-0.05,-0.64,-0.08
Share Issuance / Repurchase,0,0,0,0,0,0,210.57,0
Debt Issued / Paid,0,0,0,0,0,0,-0.19,0.17
Other Financing Activities,-,-,-,-,-,-,6.68,-
Financing Cash Flow,0,0,0,0,0,0,217.07,0.17
Net Cash Flow,-0.1,-0.19,-0.02,-0.24,-0.04,-0.05,1.56,0.09
Free Cash Flow,-0.1,-0.19,-0.02,-0.24,-0.04,-0.05,-0.64,-0.08
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.01,-0.00,-0.00,-0.04,-0.02
