Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.35,0.75,-0.14,-0.32,-0.45,-0.02,-0,-0
Other Operating Activities,-2.21,-0.99,0.03,0.12,-0.2,0.02,0,0
Operating Cash Flow,-0.86,-0.24,-0.11,-0.2,-0.65,-0,0,0
Share Issuance / Repurchase,0,0,0,0,245,0,0,0
Debt Issued / Paid,0,0,0,0,-0.17,0.04,0.03,0.09
Other Financing Activities,-,-,-,-,11.9,-0.04,-0.03,-0.09
Financing Cash Flow,0,0,0,0,256.73,0,0,0
Net Cash Flow,-0.19,-0.24,-0.11,-0.2,1.08,0,0,0
Free Cash Flow,-0.86,-0.24,-0.11,-0.2,-0.65,-0,0,0
Free Cash Flow Per Share,-0.03,-0.01,-0.00,-0.01,-0.07,-0.00,-,-
