Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.35,-1.35,-0.16,-2.76,-0.21,0,-0.02
Share-Based Compensation,0.07,0,0,0,0,0,0
Other Operating Activities,0,0.55,-0.04,2.58,-0.27,-,0.02
Operating Cash Flow,-0.28,-0.8,-0.2,-0.19,-0.48,0,0
Share Issuance / Repurchase,0,0,0,0,236.6,0,0
Debt Issued / Paid,0.2,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-235.14,-,-
Financing Cash Flow,0.2,0,0,0,1.46,0,0
Net Cash Flow,-0.08,-0.5,-0.2,-0.19,0.98,0,0
Free Cash Flow,-0.28,-0.8,-0.2,-0.19,-0.48,0,0
Free Cash Flow Per Share,-0.01,-0.03,-0.01,-0.01,-0.04,-,-
