Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,9.4,1.83,0.21,3.36,-5.35,3.9,-1.47,9.61,-0.01
Other Operating Activities,-9.75,-1.97,-0.25,-3.33,4.63,-4.24,1.32,-10.5,-0.02
Operating Cash Flow,-0.35,-0.14,-0.03,0.02,-0.71,-0.34,-0.15,-0.89,-0.03
Change in Investments,0,0,0,0,0,0,0,-276,0
Investing Cash Flow,0,0,0,0,0,0,0,-276,0
Share Issuance / Repurchase,0.35,0,0,0,0,0,0,270.48,0.03
Debt Issued / Paid,0.18,0.04,0,0,0.45,0,0,-0.08,0.08
Other Financing Activities,-0.1,0.1,-,-,-,-,-,7.19,-
Financing Cash Flow,0.43,0.14,0,0,0.45,0,0,277.6,0.1
Net Cash Flow,0.08,-0,-0.03,0.02,-0.26,-0.34,-0.15,0.7,0.07
Free Cash Flow,-0.35,-0.14,-0.03,0.02,-0.71,-0.34,-0.15,-0.89,-0.03
Free Cash Flow Per Share,-0.01,-0.00,-0.00,0.00,-0.02,-0.01,-0.00,-0.04,-0.01
