Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.48,0.13,0,-0.04,-0.04
Other Operating Activities,-0.54,-0.32,0.03,-,-
Operating Cash Flow,-0.06,-0.19,0.03,-0.04,-0.04
Share Issuance / Repurchase,1.86,70.56,-0.03,0.03,0.03
Debt Issued / Paid,0,-0.23,-0.09,0.1,0.1
Other Financing Activities,-1.86,0.02,0.01,-0.03,-0.03
Financing Cash Flow,0,70.35,-0.11,0.09,0.09
Net Cash Flow,-0.06,0.13,-0.08,0.05,0.05
Free Cash Flow,-0.06,-0.19,0.03,-0.04,-0.04
Free Cash Flow Per Share,-0.01,-0.04,0.02,-0.03,-0.03
