Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,0.62,4.9,7.04,6.43,6.61,6.52,4.68,5.17,5.57,5.01,3.87,2.88,3.73,3.72,4.09,4.09,3.93,1.41,3.39,3.08,3,1.01,2.24
Depreciation & Amortization,0.16,0.07,0.2,0.24,0.18,0.2,0.2,0.22,0.23,0.24,0.23,0.24,0.25,0.26,0.25,0.26,0.26,0.26,0.12,0.12,0.11,0.13,-
Share-Based Compensation,0.32,0.38,0.35,0.25,0.2,0.26,0.29,0.29,0.17,0.16,0.16,0.17,0.21,0.21,0.2,0.11,0.17,0.18,0.18,0.18,0.17,0.15,-
Other Operating Activities,1.45,3.14,-0.15,-4.02,-3.43,21.57,-21.25,-4.56,-0.13,-3.43,0.09,-1.28,2.33,0.12,1.67,-0.14,0.24,2.45,0.54,-1.88,0.04,1.51,-2.24
Operating Cash Flow,2.56,8.5,7.44,2.89,3.57,28.55,-16.08,1.13,5.84,1.98,4.35,2.02,6.52,4.31,6.22,4.31,4.59,4.3,4.23,1.49,3.32,2.8,-
Operating Cash Flow Growth,-28.30%,-70.24%,-,156.26%,-38.97%,1342.07%,-,-44.10%,-10.31%,-54.02%,-29.95%,-53.25%,41.85%,0.19%,46.92%,188.81%,38.39%,53.50%,-,-,-,-,-
Capital Expenditures,-0.06,-0.04,-0.06,-0.04,-0.03,-0.06,-0.26,-0.15,-0.02,-0.06,-0.08,-0.05,-0.17,-0.07,-0.14,0.01,-0.11,-0.22,-0.14,-0.17,-0.22,-0.11,-
Acquisitions,0,0,0,0,0,-22.2,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,-
Change in Investments,-0.61,-142.1,95.57,-215.84,51.71,-177.3,2.91,-78.34,-73.03,-25.97,-18.05,-174.57,-49.36,13.16,-65.48,-59.85,-51.51,1.98,-33.34,-61.46,-25.87,-56.19,-
Other Investing Activities,-,-,-,-15,-,4.1,-,-,-,-,-,-,-,-,-,-,0.36,-,-,-,-,-,-
Investing Cash Flow,-0.67,-142.14,95.51,-230.88,51.68,-195.46,2.66,-78.49,-73.05,-26.03,-18.13,-174.61,-49.53,13.09,-65.62,-59.84,-51.26,6.93,-33.48,-61.63,-26.09,-56.29,-
Share Issuance / Repurchase,-0.01,-0.55,0.04,0.03,1.43,0.18,0.16,0.06,0.82,0.12,0,0.06,-7.08,0.09,0.27,0.6,0.27,1.78,31.78,0.46,0.6,0.07,-
Debt Issued / Paid,-76,188.75,-65,115,0,-13.31,-10.5,0,0,4.51,15,0,0,10,15,0,0,-42.58,15,-12.5,12.5,-27.6,-
Other Financing Activities,80.17,-59.12,-37.9,107.82,-64.42,174.27,29.29,85.57,62.14,18.14,-4.72,175,58.33,-31.99,48.36,56.73,50.37,30.07,-14.91,70.24,10.5,81.31,-
Financing Cash Flow,4.16,129.07,-102.86,222.85,-62.99,161.13,18.95,85.63,62.96,22.77,10.28,175.05,51.25,-21.9,63.62,57.32,50.64,-10.74,31.87,58.19,23.6,53.78,-
Net Cash Flow,6.05,-4.57,0.09,-5.14,-7.74,-5.77,5.53,8.26,-4.24,-1.29,-3.49,2.46,8.24,-4.51,4.22,1.8,3.97,0.5,2.63,-1.95,0.83,0.28,-
Free Cash Flow,2.5,8.46,7.38,2.85,3.54,28.5,-16.34,0.98,5.82,1.92,4.28,1.97,6.35,4.23,6.08,4.32,4.48,4.08,4.1,1.32,3.1,2.69,-
Free Cash Flow Growth,-29.34%,-70.31%,-,192.10%,-39.30%,1385.71%,-,-50.43%,-8.28%,-54.68%,-29.63%,-54.51%,41.68%,3.75%,48.39%,226.59%,44.63%,51.52%,-,-,-,-,-
Free Cash Flow Margin,27.32%,55.88%,41.62%,17.53%,21.65%,162.80%,-105.12%,6.56%,39.26%,13.36%,33.77%,16.91%,53.64%,35.38%,48.48%,34.86%,37.39%,36.90%,39.86%,14.03%,35.26%,28.38%,-
Free Cash Flow Per Share,0.14,0.48,0.42,0.16,0.20,1.67,-0.95,0.06,0.34,0.11,0.25,0.12,0.38,0.24,0.35,0.25,0.26,0.24,0.26,0.08,0.19,0.17,-
