Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.7,3.46,-1.53,1.99,23.51,-12.61,11.22,-8.42
Other Operating Activities,2.37,0.09,1.3,-2.34,-23.8,12.39,-11.46,7.87
Operating Cash Flow,3.07,3.55,-0.23,-0.36,-0.29,-0.22,-0.24,-0.55
Change in Investments,-3.49,-3.68,0.27,0,0,0,0,0
Investing Cash Flow,-3.49,-3.68,0.27,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,-0.17,348.14
Debt Issued / Paid,0,0.04,-0.1,0.03,0.03,0.07,0,-0.12
Other Financing Activities,-,-,-,-,-,-,0,-0.31
Financing Cash Flow,0,0.04,-0.1,0.03,0.03,0.07,-0.17,347.72
Net Cash Flow,-0.42,-0.1,-0.05,-0.33,-0.26,-0.15,-0.41,2.17
Free Cash Flow,3.07,3.55,-0.23,-0.36,-0.29,-0.22,-0.24,-0.55
Free Cash Flow Per Share,0.07,0.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.04
