Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-1.05,1.46,0.81,2.57,1.31,3.2,-1.59,5.78,-2.54,0
Share-Based Compensation,0,0,0,0,0,0.4,0,0,0,0
Other Operating Activities,-0.31,-2.12,-1.53,-2.84,-1.32,-3.76,1.41,-6.12,2.28,-
Operating Cash Flow,-1.36,-0.66,-0.72,-0.28,-0,-0.16,-0.18,-0.35,-0.25,0
Change in Investments,-0.19,31.91,69.81,-1.15,-1.15,0,0,0,0,0
Investing Cash Flow,-0.19,31.91,69.81,-1.15,-1.15,0,0,0,0,0
Share Issuance / Repurchase,0,-31.85,-69.7,0,0,0,0,0,112.73,0
Debt Issued / Paid,1.57,0.59,0.61,1.43,1.15,0,0,0,-0.09,0.09
Other Financing Activities,-,-,-,-,-,-,-,-,5.03,-0.09
Financing Cash Flow,1.57,-31.25,-69.09,1.43,1.15,0,0,0,117.67,0
Net Cash Flow,0.01,-0,-0.01,0,-0,-0.16,-0.18,-0.35,0.69,0
Free Cash Flow,-1.36,-0.66,-0.72,-0.28,-0,-0.16,-0.18,-0.35,-0.25,0
Free Cash Flow Per Share,-0.15,-0.09,-0.07,-0.02,-,-0.01,-0.01,-0.02,-0.06,-
