Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Net Income,-9.18,-61.4,-30.01,-43.82,-13.48,-155.03,-20.24,-12,-2.09,35.96,-56.42,-22.87,-0.94,16
Depreciation & Amortization,27.38,26.53,29.27,27.86,27.37,31.6,27.38,26.97,26.58,25.11,24.78,24.52,24.15,28.74
Share-Based Compensation,4.44,4.37,5.48,12.14,5.16,7.2,7.39,7.6,5.11,3.08,212.07,0.6,0.48,0.45
Other Operating Activities,-2.16,-10.5,90.78,-44.28,35.45,-110.36,-54.7,-86.02,1.59,-207.2,-147.42,-30.01,-0.1,-54.47
Operating Cash Flow,20.48,-41,95.53,-48.11,54.49,-226.59,-40.17,-63.45,31.2,-143.05,33,-27.76,23.59,-9.28
Operating Cash Flow Growth,-62.41%,-,-,-,74.62%,-,-,-,32.28%,-,-,-,-,-
Capital Expenditures,-2.23,-1.42,-2.44,-3.66,-6,-0.53,-11.36,-4.17,-3.74,-2.5,-4.26,-4.24,-3.52,-2.42
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,-807.59
Investing Cash Flow,-2.23,-1.42,-2.44,-3.66,-6,-0.53,-11.36,-4.17,-3.74,-2.5,-4.26,-4.24,-3.52,-810.01
Share Issuance / Repurchase,-0.11,-0.34,0,0,0,0,0,0,0,0,852.41,0,10,0
Debt Issued / Paid,-1.39,-156.25,-2.36,-1.36,-3.11,229.74,23.86,6.61,-1.12,-4.52,-1.12,-1.39,110.17,289.62
Other Financing Activities,-0.89,-,48.36,-,-,-3.4,-,-,3.4,-0.4,-703.61,-0.87,-,541.26
Financing Cash Flow,-2.4,-156.59,46,-1.36,-3.11,226.35,23.86,6.61,2.28,-4.92,147.68,-2.27,120.17,830.88
Net Cash Flow,15.86,-198.94,139.25,-53.47,45.27,-0.86,-27.64,-61.12,29.75,-150.36,176.26,-34.08,140.15,11.57
Free Cash Flow,18.25,-42.42,93.09,-51.77,48.49,-227.12,-51.53,-67.62,27.46,-145.55,28.75,-32,20.07,-11.7
Free Cash Flow Growth,-62.36%,-,-,-,76.57%,-,-,-,36.87%,-,-,-,-,-
Free Cash Flow Margin,9.97%,-61.14%,69.96%,-32.63%,17.92%,-50.52%,-24.34%,-34.34%,13.45%,-32.64%,17.60%,-25.18%,14.23%,-3.79%
Free Cash Flow Per Share,2.04,-4.77,10.55,-6.24,6.26,-29.59,-6.78,-9.91,4.46,-25.94,5.12,-1.53,0.96,-0.56
