Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-1.38,-0.77,3.31,5.94,3.08,1.77,-3.93,7.72,-
Other Operating Activities,0.48,0.54,-3.31,-6.32,-3.22,-1.93,3.8,-8.33,-
Operating Cash Flow,-0.91,-0.23,-0.01,-0.37,-0.15,-0.16,-0.14,-0.6,-
Change in Investments,252.24,0.07,0,0.06,0,0,0,-278.76,-
Investing Cash Flow,252.24,0.07,0,0.06,0,0,0,-278.76,-
Share Issuance / Repurchase,-251.6,0,0,0,0,0,0,270.48,-
Debt Issued / Paid,0.09,0.37,0,0.15,0,0,0,-0.2,-
Other Financing Activities,-,-,-,-,-,-0,0,9.69,-
Financing Cash Flow,-251.51,0.37,0,0.15,0,-0,0,279.97,-
Net Cash Flow,-0.18,0.2,-0.01,-0.16,-0.15,-0.16,-0.14,0.61,-
Free Cash Flow,-0.91,-0.23,-0.01,-0.37,-0.15,-0.16,-0.14,-0.6,-
Free Cash Flow Per Share,-0.03,-0.01,-,-0.01,-0.00,-0.01,-0.00,-0.02,-
