Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.51,-0.35,0.14,-0.15,-0.16,0,-0,-0
Other Operating Activities,-0.36,0.01,-0.32,0.06,-0.3,-0,-,-0
Operating Cash Flow,-0.87,-0.33,-0.18,-0.09,-0.46,-0,-0,-0.01
Change in Investments,32.48,0,0,0,-87.54,0,0,0
Investing Cash Flow,32.48,0,0,0,-87.54,0,0,0
Share Issuance / Repurchase,-32.71,0,0,0,88.62,0,0,0
Debt Issued / Paid,1.05,0.25,0,0,-0.17,0,0,0
Financing Cash Flow,-31.66,0.25,0,0,88.45,0,0,0
Net Cash Flow,-0.04,-0.08,-0.18,-0.09,0.45,-0,-0,-0.01
Free Cash Flow,-0.87,-0.33,-0.18,-0.09,-0.46,-0,-0,-0.01
Free Cash Flow Per Share,-0.09,-0.03,-0.02,-0.01,-0.08,-0.00,-,-0.00
