Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.73,0.51,0.04,-0.16,-0.63,0,0,-
Other Operating Activities,-1.04,-0.55,-0.19,-0.09,0.1,-0.06,-0.05,-0.03
Operating Cash Flow,-0.31,-0.05,-0.16,-0.25,-0.53,-0.06,-0.05,-0.03
Share Issuance / Repurchase,0,0,0,0,169.08,0,0,0.03
Debt Issued / Paid,0,0,0,0,0.37,0.06,0.03,0
Other Financing Activities,-,-,-,-,8.05,-,0.03,-
Financing Cash Flow,0,0,0,0,177.5,0.06,0.05,0.03
Net Cash Flow,-0.31,-0.05,-0.16,-0.25,1.01,0,0,0
Free Cash Flow,-0.31,-0.05,-0.16,-0.25,-0.53,-0.06,-0.05,-0.03
Free Cash Flow Per Share,-0.07,-0.01,-0.04,-0.06,-0.13,-0.01,-0.01,-
