Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,1.03,1.68,5.38,6.99,1.71,7.97,-8.5,9.31
Other Operating Activities,-1.82,-1.84,-5.47,-7.7,-1.92,-7.99,8.4,-10.53
Operating Cash Flow,-0.79,-0.17,-0.09,-0.7,-0.21,-0.02,-0.1,-1.23
Change in Investments,0,0,0,0,0,0,0,-316.25
Investing Cash Flow,0,0,0,0,0,0,0,-316.25
Share Issuance / Repurchase,0,0,0,0,0,0,0,310.18
Debt Issued / Paid,1.05,0,0,0,0,0,0,-0.02
Other Financing Activities,-,-,-,-,-0.07,-,0,8.74
Financing Cash Flow,1.05,0,0,0,-0.07,0,0,318.89
Net Cash Flow,0.26,-0.17,-0.09,-0.7,-0.28,-0.02,-0.1,1.42
Free Cash Flow,-0.79,-0.17,-0.09,-0.7,-0.21,-0.02,-0.1,-1.23
Free Cash Flow Per Share,-0.02,-0.00,-0.00,-0.02,-0.01,-0.00,-0.00,-0.05
