Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.23,0.18,-0.18,-0.27,-0.11,-0.01,0
Other Operating Activities,-0.3,-0.33,-0.05,0.04,-0.14,-,-
Operating Cash Flow,-0.07,-0.16,-0.23,-0.23,-0.26,-0.01,0
Share Issuance / Repurchase,0,0,0,0,103.21,0,0
Debt Issued / Paid,0.78,0,0,0,-0.31,0,0
Other Financing Activities,-,-,-,-,-2.19,-0,-0.02
Financing Cash Flow,0.78,0,0,0,100.71,-0,-0.02
Net Cash Flow,-0.06,-0.16,-0.23,-0.23,0.75,-0.01,-0.02
Free Cash Flow,-0.07,-0.16,-0.23,-0.23,-0.26,-0.01,0
Free Cash Flow Per Share,-0.01,-0.02,-0.02,-0.02,-0.16,-0.00,-
