Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Net Income,32.74,58.51,69.2,46.4,45.31,56.59,51.61,53.41,47.01,55.88,32.2,44.22,37.9,57.44,-
Depreciation & Amortization,4.56,4.55,3.97,3.71,3.54,3.65,3.44,3.33,3.31,3.37,3.28,3.26,3.32,4.21,-
Share-Based Compensation,2.11,7.51,4.04,1.99,0.74,1.01,1.01,1.64,0,0,0,0,0,0,-
Other Operating Activities,-34.64,-13.41,12.22,-5.41,-71.49,26.52,73.17,-11.95,32.15,-20.64,35.94,-11.66,38.51,-28.73,-
Operating Cash Flow,4.76,57.17,89.43,46.69,-21.9,87.77,129.23,46.43,82.48,38.6,71.42,35.82,79.73,32.92,-
Operating Cash Flow Growth,-,-34.87%,-30.80%,0.58%,-,127.37%,80.96%,29.59%,3.45%,17.27%,-,-,-,-,-
Capital Expenditures,-4.2,-4.03,-1.29,-0.81,-0.35,-0.56,-0.42,-0.67,-1.44,-0.11,-0.38,-0.97,-0.55,-0.44,-
Acquisitions,0,0,-79.5,0,0,0,0,0,0,-1.18,0,0,0,0,-
Change in Investments,63.04,73.24,27.79,49.59,67.19,3.35,15.53,-781.55,-554.22,11.75,52.31,-12.7,27.16,-4.63,-
Other Investing Activities,-,0.5,-0.5,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,58.84,69.71,-53.5,48.78,66.84,2.79,15.11,-782.22,-555.65,10.45,51.93,-13.67,26.6,-5.07,-
Dividends Paid,-48.47,-57.94,-49.22,-45.32,-58.83,-50.83,-88.78,0,-116.36,-46.46,-30.27,-2.12,-97.44,-15.46,-
Share Issuance / Repurchase,-18.43,-14.2,-12.09,-14.62,-22.44,-26.86,-14.92,-9.06,"1,392.4",0,0.05,0,0.09,0,-
Debt Issued / Paid,-11.81,-5.81,73.34,-5.67,-5.69,-4.82,-4.65,-4.59,-4.49,-5.28,-3.22,-4.07,-3.93,-3.69,-
Other Financing Activities,-,1.46,1.53,-,-,-,-1,-7.68,-10.38,-,-,-0.9,-,-0.16,-
Financing Cash Flow,-78.71,-76.49,13.56,-65.61,-86.97,-82.5,-109.34,-21.32,"1,261.18",-51.74,-33.44,-7.09,-101.28,-19.31,-
Net Cash Flow,-33.33,37.89,38.1,19.81,-61.56,-5.13,24.24,-772.1,769.73,-10.68,87.62,3.02,-2.87,-0.82,-
Free Cash Flow,0.57,53.14,88.14,45.88,-22.25,87.22,128.81,45.75,81.04,38.49,71.04,34.85,79.17,32.48,-
Free Cash Flow Growth,-,-39.07%,-31.58%,0.29%,-,126.58%,81.33%,31.28%,2.36%,18.52%,-,-,-,-,-
Free Cash Flow Margin,0.55%,47.62%,85.85%,45.99%,-23.65%,75.71%,104.19%,38.20%,75.84%,36.80%,96.59%,40.13%,105.71%,31.20%,-
Free Cash Flow Per Share,0.01,0.93,1.55,0.81,-0.40,1.53,2.26,0.80,1.42,0.69,1.28,0.63,1.43,0.58,-
