Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.11,0.16,-0,-0.06,-0.02,-0.01
Other Operating Activities,-0.32,-0.3,-0.05,-0.22,0.09,-
Operating Cash Flow,-0.21,-0.14,-0.05,-0.28,0.07,-0.01
Share Issuance / Repurchase,-58.31,0,3.57,0,76.44,0
Debt Issued / Paid,0.36,0,0,0,0,0.07
Other Financing Activities,-,-,-3.57,-,3.03,-0.01
Financing Cash Flow,-57.95,0,0,0,79.47,0.06
Net Cash Flow,-0.21,-0.14,-0.05,-0.28,0.76,0.06
Free Cash Flow,-0.21,-0.14,-0.05,-0.28,0.07,-0.01
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.03,0.02,-0.00
