Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Net Income,1.58,3.08,0.63,-4.13,-0.16,1.99,0.42,0.56,1.16,4.32,0.4,0.78,-1.97,3.58,-0.01,0.44,0.29,0.63,-0.21,-0.21,0.68,0.44,-0.35,-0.24,0.85,1.22,0.69,0.42,0.47,-
Depreciation & Amortization,0.17,0.14,0.21,0.18,0.16,0.22,0.16,0.16,0.16,0.18,0.17,0.17,0.17,0.18,0.21,0.2,0.2,0.21,0.21,0.18,0.13,0.19,0.2,0.21,0.22,0.22,0.21,0.21,0.18,-
Share-Based Compensation,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.12,0.12,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.1,0.11,0.2,0,0,0,0,0,0,0,0,0,-
Other Operating Activities,0.45,-0.96,1.74,6.02,3.25,0.3,-0.51,1.08,-0.96,-2.59,-1.87,-0.45,1.86,1,-2.67,-1.87,0.54,1.52,1.73,2.8,-2.31,-0.52,2.18,-0.67,-1.78,-1.02,2.71,5.03,-5.75,-
Operating Cash Flow,2.34,2.4,2.74,2.22,3.39,2.67,0.22,1.94,0.48,2.03,-1.19,0.61,0.16,4.88,-2.37,-1.11,1.13,2.47,1.83,2.98,-1.5,0.11,2.04,-0.7,-0.72,0.43,3.61,5.65,-5.1,-
Operating Cash Flow Growth,-31.01%,-9.87%,1140.58%,14.38%,603.25%,31.65%,-,217.38%,196.84%,-58.49%,-,-,-85.59%,98.04%,-,-,-,2101.12%,-10.10%,-,-,-73.77%,-43.62%,-,-,-,-,-,-,-
Capital Expenditures,-0.16,-0.09,-0.28,-0.16,-0.17,-0.24,-0.14,-0.39,-0.08,-0.15,-0.05,-0.06,-0.1,-0.1,-0.09,-0.13,-0.07,-0.03,-0.2,-0.11,-0.12,-0.11,-0.09,-0.33,-0.01,-0.09,-0.16,-0.04,-0.53,-
Change in Investments,-2.49,-2.2,-4.7,4.81,-2.82,-0.32,-0.95,-8.14,-1.64,-1.91,-5.09,-0.91,-3.65,0.4,-1.33,1.09,0.71,-0.31,0.36,-0.24,-2.94,0.31,-4.36,-20.83,-1.48,1.15,-2.79,-1.36,3.89,-
Other Investing Activities,-0.36,-0.22,-0.29,0.25,-0.4,-0.09,-0.48,0.11,0.21,0.08,-0.01,-1.23,-0.03,-0.54,-0.16,-0.17,-0,-0.18,-0.34,0,-0.03,-0.29,-0.03,-0.46,-0.22,-0.07,-0,0.01,-1.63,-
Investing Cash Flow,-3.01,-2.5,-5.27,4.91,-3.39,-0.66,-1.57,-8.42,-1.5,-1.98,-5.15,-2.2,-3.78,-0.24,-1.59,0.8,0.64,-0.52,-0.18,-0.35,-3.1,-0.08,-4.48,-21.61,-1.71,1,-2.95,-1.39,1.73,-
Share Issuance / Repurchase,-0.05,-0.04,-2.23,-0.21,-0.03,-0.04,-0.01,-0.07,-0.02,-0.04,-0.09,-0.02,0,-0.04,-0.05,-0.05,-0,0,-3,-0.1,0.1,0.11,-0.27,0.12,29.14,0,0,0,0,-
Debt Issued / Paid,0,0,0,-3.45,-0,-0,-0,5,-0,-0,-0,5.63,6,-0,-0,-0,0,-0,-0,-0,-0.85,-0.11,-0.54,-0.22,1.43,-0.2,0.25,-1.46,1.93,-
Other Financing Activities,-,0,-,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.48,-0.67,-0.16,-,-
Financing Cash Flow,-0.05,-0.04,-2.23,-3.67,-0.03,-0.04,-0.01,4.92,-0.02,-0.04,-0.1,5.61,6,-0.05,-0.06,-0.05,-0,-0,-3,-0.1,-0.75,-0.01,-0.81,-0.11,30.57,-0.68,-0.42,-1.62,1.93,-
Net Cash Flow,-0.72,-0.14,-4.76,3.46,-0.03,1.97,-1.36,-1.56,-1.04,0,-6.43,4.02,2.38,4.6,-4.01,-0.36,1.76,1.94,-1.35,2.53,-5.35,0.02,-3.25,-22.41,28.14,0.75,0.24,2.65,-1.44,-
Free Cash Flow,2.18,2.31,2.46,2.06,3.23,2.42,0.08,1.55,0.4,1.88,-1.24,0.55,0.06,4.79,-2.46,-1.24,1.06,2.44,1.63,2.86,-1.62,0,1.95,-1.02,-0.72,0.34,3.46,5.62,-5.63,-
Free Cash Flow Growth,-32.44%,-4.51%,2811.35%,32.81%,700.94%,29.01%,-,181.93%,591.19%,-60.75%,-,-,-94.49%,96.41%,-,-,-,93065.10%,-16.45%,-,-,-99.23%,-43.64%,-,-,-,-,-,-,-
Free Cash Flow Margin,11.12%,10.98%,13.80%,13.94%,20.17%,13.65%,0.56%,10.58%,2.89%,10.88%,-8.67%,3.77%,0.57%,30.91%,-16.95%,-8.52%,7.06%,18.89%,12.56%,23.57%,-12.31%,0.02%,16.33%,-8.96%,-6.12%,2.91%,30.27%,51.03%,-52.03%,-
Free Cash Flow Per Share,0.74,0.76,0.80,0.67,1.05,0.80,0.03,0.51,0.13,0.62,-0.41,0.18,0.02,1.59,-0.82,-0.41,0.35,0.82,0.52,0.90,-0.51,0.00,0.62,-0.32,-0.23,0.11,1.10,1.78,-1.79,-
